iso3,country,NIQ_UW,NIQ_NW,NIQ_QNW,NIQ_SAS,NIQ_QNW+SAS,NIQ_QNW+SAS+GEO,NIQ_L&V02,NIQ_L&V02+GEO,NIQ_L&V12,NIQ_L&V12+GEO,NIQ_IQ(L&V12)-NIQ,NIQ_R,1.3,1.3.1,1.3.2,1.3.3,1.3.4,Educational attainment (0−18 years) (1990),Educational attainment (0−18 years) (2016),Educational attainment (0−18 years) (1990 & 2016),Learning (0−100) (1990),Learning (0−100) (2016),Learning (0−100) (1990 & 2016),Harmonized  Learning Outcomes,Human Capital (1990),Human Capital (2016),Human Capital (1990 & 2016)
AFG,Afghanistan,,,,,,82.14290790986576,,83.0,,75.0,,71.57,,,,,,,,,,,,315.4551,,,
ALB,Albania,,,,82.82028318963907,82.82028318963907,82.82028318963907,,90.0,,82.0,,82.32,,,,,,10.0,11.0,10.5,76.0,78.0,77.0,411.6444,11.0,14.0,12.5
DZA,Algeria,,,,75.9977255182966,75.9977255182966,75.9977255182966,,84.0,,84.2,8.202274481703398,85.08,,,,,,10.0,12.0,11.0,63.0,68.0,65.5,382.7845,8.0,14.0,11.0
AND,Andorra,,,,,,96.4030642394078,,,,97.0,0.5969357605922028,94.53,,,,,,12.0,13.0,12.5,85.0,86.0,85.5,,21.0,24.0,22.5
AGO,Angola,75.1,75.1,75.1,,75.1,75.1,,69.0,,71.0,,67.4,75.1,75.1,75.1,75.1,75.1,,10.0,10.0,,66.0,66.0,263.1357,,7.0,7.0
ATG,Antigua and Barbuda,,,,,,70.44349231854152,,75.0,,74.0,3.556507681458484,70.53,,,,,,9.0,11.0,10.0,70.0,70.0,70.0,,10.0,14.0,12.0
ARG,Argentina,96.11110744581333,95.11367721119214,95.52433593899454,79.40198766119136,87.46316180009295,87.46316180009295,96.0,96.0,92.8,92.8,5.336838199907049,87.91,93.84906598984533,93.85,93.85,95.52,95.52433593899454,10.0,12.0,11.0,71.0,72.0,71.5,418.3477,12.0,16.0,14.0
ARM,Armenia,,,,88.81870321099198,88.81870321099198,88.81870321099198,,93.0,,93.2,4.381296789008019,90.91,,,,,,13.0,13.0,13.0,76.0,78.0,77.0,464.5221,15.0,17.0,16.0
AUS,Australia,98.73859192107813,99.58691118051556,99.54279014802276,98.8543359842027,99.19856306611274,99.19856306611274,98.0,98.0,99.2,99.2,0.0014369338872626258,99.86,99.5187070478613,99.52,99.52,99.54,99.54279014802276,11.0,13.0,12.0,88.0,87.0,87.5,521.7819,20.0,23.0,21.5
AUT,Austria,102.22745014888444,100.38682411239597,100.78602899992103,98.74447420575886,99.76525160283995,99.76525160283995,102.0,102.0,99.0,99.0,,99.28,97.99532927180356,98.0,98.0,98.37,98.37139977847902,11.0,13.0,12.0,87.0,87.0,87.0,515.229,20.0,24.0,22.0
AZE,Azerbaijan,,,,84.88666966815886,84.88666966815886,84.88666966815886,,87.0,,84.9,0.013330331841146403,87.11,,,,,,11.0,11.0,11.0,75.0,76.0,75.5,433.1995,11.0,14.0,12.5
