ID,No.,iso3,country,Former ID,Origin (type),Origin (specif.),SES,Sample comp.,Sample char.,Lowest age,Highest age,Mean age,Age deviation,N (ind.),Sample rating,Test (type),Test (meas.),Test (calc.),Test (part),Domain,Procedure,Year (meas.),Year (std.),Time deviation,Country of std.,Testing rating,Recalc.?,Special calc.?,Test-conv.?,Raw-score (uncor.),Raw-score (cor.),IQ (uncor.),Test time adjust.,Country cor.,Add. cor.,Below threshold?,Method rating,IQ (cor.),IQ (L&V),IQ(L&V)-IQ(cor.),|IQ(L&V)-IQ(cor.)|,Full rating,QN-Factor,Short,Full,Found?,DB,L&V
AGO7765,7765.0,AGO,Angola,1.1.1,6.0,,2.0,control,5.0,15.0,32.0,23.63,7.729999999999999,19.0,0.2,WIS,WAIS-III,WAIS-III,Digit Span (f+b); Matrices,2.0,1.0,2013.0,2006.0,7.0,3.0,0.3333333333333333,0.0,1.0,0.0,23.240000000000002,23.240000000000002,77.5,-1.2000000000000028,-1.2,0.0,0.0,1.0,75.1,76.5,1.4000000000000057,1.4000000000000057,0.5111111111111111,9.71111111111111,Peixoto & Kalei (2013),"Peixoto, B., & Kalei, I. (2013). Neurocognitive sequelae of cerebral malaria in adults: A pilot study in Benguela Central Hospital, Angola. Asian Pacific Journal of Tropical Biomedicine, 3, 532-535.",Y,Malaria group excluded,"Peixoto & Kalei (2013) report Wechsler subtest data for 22 young adults with cerebral malaria and 19 healthy controls. Both samples obtained a score of 10.7 on the digit span test giving an IQ of 73 on the British WAIS III 1995 standardisation. On the matrix reasoning test the sample with cerebral malaria obtained a score of 10.3 giving an IQ of 77 on the British 1995 standardisation and the controls obtained a score of 12.4 giving an IQ of 83 on the British 1995 standardisation. The two results on matrix reasoning are averaged to give an IQ of 80, and this is averaged with the digit span IQ of 73 to give an IQ of 76.5. "
ARG2485,2485.0,ARG,Argentina,2.1.4,6.0,,2.0,normal,3.0,,,13.0,18.7,1740.0,0.3,RPM,SPM,SPM,full,1.0,1.0,1997.0,1979.0,18.0,1.0,0.8333333333333334,1.0,0.0,0.0,45.34,45.34,104.37502031120002,-3.7800000000000153,0.0,0.0,0.0,1.0,100.5950203112,102.0,1.4049796887999975,1.4049796887999975,0.7111111111111111,1237.3333333333335,De Kohan (1997),"De Kohan, N.C. (1997). Logros en educaciob  primaria y su relacion con inteligencia general y con los procesos de pensamiento en la resolucion de problemas. Revista Latinoamericana de Psicolgia, 29, 65-79.",Y,,De Kohan (1997) reports an SPM score of 45.34 for 13 year olds which translates to a British IQ of 103. 
ARG2424,2424.0,ARG,Argentina,2.1.1,3.0,,2.0,normal,3.0,13.0,14.0,13.5,18.2,880.0,0.3,RPM,SPM,SPM,full,1.0,1.0,1964.0,1979.0,15.0,1.0,0.8333333333333334,1.0,0.0,0.0,38.78,38.78,86.3673339064,3.150000000000005,0.0,0.0,0.0,1.0,89.51733390640001,95.0,5.482666093599988,5.482666093599988,0.7111111111111111,625.7777777777778,Flynn & Rossi-Casé (2012),"Flynn, J. R., & Rossi-Casé, L. (2012). IQ gains in Argentina betwen 1964 and 1988.   Intelligence, 40, 145-150.",Y,1998 group reduced from six to three age-groups (normtable available only untill age 15.5),"Flynn & Rossi-Casé (2012) give SPM data for 13-14 year olds (assumed to lie between 13.0 and 14.11 years and therefore with a mean of 14.0 years) for the city of  La Plata tested in 1964 and in 1998. The 1964 sample obtained a score of 38 equivalent to the 14th percentile (IQ =84) on the 1979 British standardization, needing a 3 IQ point Flynn effect (15 years) addition to raise it to 87.  They also give SPM data for 17-24 year olds for the city of  La Plata tested in 1964 and in 1998. The 1964 sample obtained a score of 38.9 equivalent to the 5th percentile (IQ =75.3) on the 1992 British standardization, needing a 5.6 IQ point Flynn effect (28 years) addition to raise it to 81.  The two IQs for 1964 have been averaged to 84. The 1998 sample of 13/14 year olds obtained a score of 47.7 equivalent to the 60th percentile (IQ =104) on the 1979 British standardization, needing a 4 IQ point Flynn effect (21 years) reduction to 100.  The 1998 sample 17-24 year olds obtained a score of 50 equivalent to the 28th percentile (IQ =91) on the 1992 British standardization, needing a 1 IQ point Flynn effect (6 years) reduction to 90. The two IQs for 1998 have been averaged to 95. There has therefore been an increase of 11 IQ points in the IQ in Argentina from 1964 to 1992, according to these results, representing 2.5 IQ points a decade. "
ARG2436,2436.0,ARG,Argentina,2.1.1,3.0,,2.0,normal,3.0,13.0,18.0,15.5,16.2,1390.0,0.3,RPM,SPM,SPM,full,1.0,1.0,1998.0,1979.0,19.0,1.0,0.8333333333333334,1.0,0.0,0.0,48.1,48.1,103.6900582,-3.990000000000016,0.0,0.0,0.0,1.0,99.70005819999997,95.0,-4.700058199999972,4.700058199999972,0.7111111111111111,988.4444444444445,Flynn & Rossi-Casé (2012),"Flynn, J. R., & Rossi-Casé, L. (2012). IQ gains in Argentina betwen 1964 and 1988.   Intelligence, 40, 145-150.",Y,1998 group reduced from six to three age-groups (normtable available only untill age 15.5),"Flynn & Rossi-Casé (2012) give SPM data for 13-14 year olds (assumed to lie between 13.0 and 14.11 years and therefore with a mean of 14.0 years) for the city of  La Plata tested in 1964 and in 1998. The 1964 sample obtained a score of 38 equivalent to the 14th percentile (IQ =84) on the 1979 British standardization, needing a 3 IQ point Flynn effect (15 years) addition to raise it to 87.  They also give SPM data for 17-24 year olds for the city of  La Plata tested in 1964 and in 1998. The 1964 sample obtained a score of 38.9 equivalent to the 5th percentile (IQ =75.3) on the 1992 British standardization, needing a 5.6 IQ point Flynn effect (28 years) addition to raise it to 81.  The two IQs for 1964 have been averaged to 84. The 1998 sample of 13/14 year olds obtained a score of 47.7 equivalent to the 60th percentile (IQ =104) on the 1979 British standardization, needing a 4 IQ point Flynn effect (21 years) reduction to 100.  The 1998 sample 17-24 year olds obtained a score of 50 equivalent to the 28th percentile (IQ =91) on the 1992 British standardization, needing a 1 IQ point Flynn effect (6 years) reduction to 90. The two IQs for 1998 have been averaged to 95. There has therefore been an increase of 11 IQ points in the IQ in Argentina from 1964 to 1992, according to these results, representing 2.5 IQ points a decade. "
ARG8081,8081.0,ARG,Argentina,2.1.6,3.0,Buenos Aires,2.0,normal,1.0,5.0,10.0,7.5,24.2,420.0,0.2,RPM,CPM,CPM,full,1.0,1.0,1996.0,2007.0,11.0,1.0,0.8333333333333334,1.0,1.0,0.0,24.666666666666668,24.666666666666668,102.21186666666667,2.3100000000000094,0.0,0.0,0.0,1.0,104.52186666666668,98.0,-6.521866666666682,6.521866666666682,0.6777777777777777,284.66666666666663,"Raven, Raven & Court (2006)","Raven, J. C., Raven, J., & Court, J. H. (2006). Manual für Raven's Progressive Matrices and Vocabulary Scales. Frankfurt: Harcourt Test Service.",Y,,
ARG8078,8078.0,ARG,Argentina,2.1.5,6.0,,2.0,,3.0,7.0,15.0,12.0,19.7,1680.0,0.1,RPM,SPM,SPM,full,1.0,1.0,1948.0,1979.0,31.0,1.0,0.6666666666666666,1.0,0.0,0.0,30.94,30.94,79.7112581448,6.510000000000005,0.0,0.0,0.0,1.0,86.2212581448,93.0,6.778741855199996,6.778741855199996,0.5888888888888889,989.3333333333334,Rimoldi (1948),"Rimoldi, H. J. (1948). A note on Raven's Progressive Matrices Test. Educational and Psychological Measurement, 8, 347-352.",Y,,
AUS5624,5624.0,AUS,Australia,4.1.3,2.0,Queensland,2.0,,1.0,5.5,10.5,8.0,30.700000000000003,640.0,0.0,RPM,CPM,CPM,full,1.0,1.0,1980.0,2007.0,27.0,1.0,0.6666666666666666,1.0,1.0,0.0,23.166666666666668,23.166666666666668,92.32766666666664,5.670000000000023,0.0,0.0,0.0,1.0,97.99766666666667,98.0,0.002333333333325527,0.002333333333325527,0.5555555555555555,355.5555555555555,"Raven, Raven & Court (2006)","Raven, J. C., Raven, J., & Court, J. H. (2006). Manual für Raven's Progressive Matrices and Vocabulary Scales. Frankfurt: Harcourt Test Service.",Y,,
AUS3074,3074.0,AUS,Australia,4.1.5,1.0,national,2.0,mid-level managers,5.0,,,34.51,4.190000000000005,252.0,0.2,RPM,APM,APM,full,1.0,1.0,2017.0,1992.0,25.0,1.0,0.6666666666666666,1.0,0.0,0.0,22.54,22.54,101.7527310472,-3.3600000000000136,0.0,0.0,0.0,1.0,98.39273104719999,,,,0.6222222222222222,156.8,Birney et al. (2017),"Birney, D. P., Beckmann, J. F., Beckmann, N., & Double, K. S. (2017). Beyond the intellect: Complexity and learning trajectories in Raven's Progressive Matrices depend on self-regulatory processes and conative dispositions. Intelligence, 61, 63-77. doi:10.1016/j.intell.2017.01.005",Y,,
AUS4314,4314.0,AUS,Australia,4.1.4,2.0,Victoria,2.0,normal,1.0,6.0,12.0,8.5,30.200000000000003,615.0,0.2,RPM,CPM,CPM,full,1.0,1.0,2005.0,2007.0,2.0,1.0,1.0,1.0,1.0,0.0,24.975000000000005,24.975000000000005,93.17782868361667,0.4200000000000017,0.0,0.0,0.0,1.0,93.59782868361667,93.0,-0.5978286836166689,0.5978286836166689,0.7333333333333334,451.00000000000006,Cotton et al. (2005),"Cotton, S. C., Kiely, P. M., Crewther, D. P., Thomson, B., Laycock, R., & Crewther, S. G. (2005). A normative and reliability study for the Raven’s Coloured Progressive Matrices for primary school aged children from Victoria, Australia. Personality and Individual Differences, 39, 647-659.",Y,,
AUS3651,3651.0,AUS,Australia,4.1.1,6.0,,2.0,normal,1.0,16.0,17.0,16.5,22.200000000000003,666.6666666666667,0.2,RPM,SPM,APM,full,1.0,1.0,1986.0,1992.0,6.0,1.0,1.0,1.0,1.0,1.0,49.0,18.147491384415726,104.57279095645207,1.2600000000000051,0.0,0.0,0.0,0.6666666666666666,105.83279095645207,100.0,-5.832790956452072,5.832790956452072,0.6222222222222222,414.8148148148149,"Raven, Raven & Court (1999)","Raven, J. C., Raven, J., & Court, J. H. (1999). Raven's Progressive Matrices und Vocabulary Scales. Magdeburg: Swets Test Service.",Y,,
