country,iso3,year,IQ,test_type,n_individuals,domain
Angola,AGO,2013,75.1,WIS,19.0,2.0
Argentina,ARG,1948,86.2212581448,RPM,1680.0,1.0
Argentina,ARG,1964,89.51733390640001,RPM,880.0,1.0
Argentina,ARG,1996,104.52186666666668,RPM,420.0,1.0
Argentina,ARG,1997,100.5950203112,RPM,1740.0,1.0
Argentina,ARG,1998,99.70005819999996,RPM,1390.0,1.0
Australia,AUS,1980,97.99766666666667,RPM,640.0,1.0
Australia,AUS,1986,105.83279095645209,RPM,666.6666666666667,1.0
Australia,AUS,1986,100.28304733333331,RPM,3333.333333333333,1.0
Australia,AUS,2005,93.59782868361668,RPM,615.0,1.0
Australia,AUS,2016,96.3274868392,RPM,455.0,1.0
Australia,AUS,2017,98.3927310472,RPM,252.0,1.0
Austria,AUT,1991,98.87204902289996,RPM,81.0,1.0
Austria,AUT,2008,119.23210385625,RPM,51.0,1.0
Austria,AUT,2008,88.57819756750334,RPM,71.0,1.0
"Bahamas, The",BHS,1988,87.28999999999999,OLSAT,694.0,2.0
"Bahamas, The",BHS,1999,81.14999999999998,WIS,29.0,2.0
Bahrain,BHR,2015,86.81909626719056,WIS,1018.0,2.0
Bangladesh,BGD,1995,88.46000000000001,MSE,246.0,2.0
Bangladesh,BGD,1995,75.66,MSE,426.0,2.0
Bangladesh,BGD,2004,75.63176411290323,RPM,3964.0,1.0
Bangladesh,BGD,2004,71.91999999999999,WIS,4111.0,2.0
Bangladesh,BGD,2004,72.38,WIS,296.0,2.0
Barbados,BRB,1987,88.58166666666666,WIS,58.0,2.0
Barbados,BRB,2014,94.15,WIS,59.0,2.0
Belarus,BLR,2003,97.7,WIS,6912.0,2.0
Belarus,BLR,2003,105.5,WIS,6912.0,2.0
Belgium,BEL,1997,96.63423076923075,WIS,104.0,2.0
Belgium,BEL,1998,98.79999999999995,WIS,761.0,2.0
Benin,BEN,2017,70.35899155794769,RPM,4054.0,1.0
Bermuda,BMU,1976,85.82,WIS,89.0,2.0
Bermuda,BMU,1985,95.58,SBIS,163.0,2.0
Bermuda,BMU,1985,93.23,SBIS,163.0,2.0
Bermuda,BMU,1988,95.16,SBIS,200.0,2.0
Bolivia,BOL,1970,67.94999999999999,SBIS,94.0,2.0
Bolivia,BOL,2006,91.38,WIS,41.0,2.0
Bolivia,BOL,2006,92.03,WIS,21.0,2.0
Bosnia and Herzegovina,BIH,2005,93.08230928024422,RPM,239.0,1.0
Bosnia and Herzegovina,BIH,2005,88.76494287519998,RPM,266.0,1.0
Botswana,BWA,1995,76.06157116051497,RPM,140.0,1.0
Brazil,BRA,1988,82.33750714285713,RPM,1417.0,1.0
Brazil,BRA,1990,89.96201301120004,RPM,562.0,1.0
Brazil,BRA,2000,66.38821519999999,RPM,223.0,1.0
Brazil,BRA,2000,97.061,RPM,186.0,1.0
Brazil,BRA,2000,77.76450879999999,RPM,718.0,1.0
Brazil,BRA,2000,91.4069,RPM,735.0,1.0
Brazil,BRA,2000,87.64910178330001,RPM,243.0,1.0
Brazil,BRA,2001,94.7713746516,RPM,87.0,1.0
Brazil,BRA,2004,84.32857550165713,RPM,779.0,1.0
Brazil,BRA,2004,94.00666666666667,SON-R,83.0,1.0
Brazil,BRA,2006,87.73813819999998,RPM,374.0,1.0
Brazil,BRA,2007,84.46291368000001,RPM,169.0,1.0
Brazil,BRA,2007,92.1610265,RPM,372.0,1.0
Brazil,BRA,2007,97.14299505999998,RPM,100.0,1.0
Brazil,BRA,2007,65.3778336448,RPM,59.0,1.0
Brazil,BRA,2007,91.358836925,RPM,143.0,1.0
Brazil,BRA,2008,83.13916479999997,RPM,160.0,1.0
Brazil,BRA,2008,95.40652069434174,RPM,55.0,1.0
Brazil,BRA,2008,85.04317154999998,RPM,174.0,1.0
Brazil,BRA,2008,96.1887631,RPM,197.0,1.0
Brazil,BRA,2008,83.9657291375,RPM,239.0,1.0
Brazil,BRA,2008,76.72,WIS,83.0,2.0
Brazil,BRA,2010,95.00252198250004,RPM,215.0,1.0
Brazil,BRA,2014,85.6725497498,RPM,355.0,1.0
Bulgaria,BGR,1982,87.15714285714287,CFT,1456.0,1.0
Burkina Faso,BFA,2008,73.79999999999997,WIS,4635.0,2.0
Cambodia,KHM,1993,60.0,CFT,44.0,1.0
Cambodia,KHM,1993,80.20339657301201,RPM,306.0,1.0
Cambodia,KHM,2016,101.68047700854166,RPM,2831.0,1.0
Canada,CAN,1972,91.2164527,RPM,219.0,1.0
Canada,CAN,1976,76.02494999999999,WIS,100.0,2.0
Canada,CAN,1976,75.32916666666667,WIS,60.0,2.0
Canada,CAN,1979,96.2022,RPM,313.0,1.0
Canada,CAN,1994,97.8,WIS,1100.0,2.0
Canada,CAN,1995,68.46485707642844,RPM,304.0,1.0
Canada,CAN,1997,103.6,WIS,548.0,2.0
Canada,CAN,1997,102.8,WIS,542.0,2.0
Canada,CAN,2008,101.12,WIS,362.0,2.0
Canada,CAN,2008,102.0,WIS,681.0,2.0
Chile,CHL,2000,88.32824199999999,RPM,1685.0,1.0
Chile,CHL,2000,99.69125713301942,RPM,391.0,1.0
Chile,CHL,2006,87.82999999999998,WIS,108.0,2.0
Chile,CHL,2006,88.13999999999999,WIS,107.0,2.0
Chile,CHL,2012,75.50440246520101,RPM,102.0,1.0
China,CHN,1980,101.82,WIS,352.0,2.0
China,CHN,1984,106.1,WIS,660.0,2.0
China,CHN,1986,92.39067369072326,RPM,5108.0,1.0
China,CHN,1986,99.76477842105264,RPM,5108.0,1.0
China,CHN,1992,118.59203486238982,RPM,1497.0,1.0
China,CHN,1992,113.805575,RPM,1799.0,1.0
China,CHN,2016,94.07997078642606,RPM,750.0,1.0
Colombia,COL,1969,67.72,WIS,14.0,2.0
Colombia,COL,1972,82.71333333333334,SBIS,353.0,2.0
Colombia,COL,2011,87.68499999999999,WIS,423.0,2.0
"Congo, Democratic Republic of the",COD,1993,60.0,KABC,30.0,1.0
"Congo, Democratic Republic of the",COD,1993,65.70999999999998,KABC,97.0,1.0
"Congo, Democratic Republic of the",COD,1993,63.30999999999997,KABC,97.0,1.0
"Congo, Democratic Republic of the",COD,1993,67.63499999999998,KABC,32.0,1.0
"Congo, Democratic Republic of the",COD,1993,60.0,KABC,23.0,1.0
"Congo, Democratic Republic of the",COD,1995,60.0,KABC,87.0,1.0
"Congo, Democratic Republic of the",COD,2002,68.15690000000001,RPM,155.0,1.0
"Congo, Democratic Republic of the",COD,2002,68.15690000000001,RPM,28.0,1.0
"Congo, Republic of the",COG,1994,62.96627639999999,RPM,88.0,1.0
Costa Rica,CRI,2008,74.51233336123747,RPM,73.0,1.0
Costa Rica,CRI,2008,100.38957837313332,RPM,80.0,1.0
Croatia,HRV,2008,92.4958129741753,RPM,396.0,1.0
Croatia,HRV,2014,90.21391266758611,RPM,82.0,1.0
Cuba,CUB,1973,86.90267591,RPM,1065.0,1.0
Cuba,CUB,1973,84.49239262680933,RPM,386.0,1.0
Cuba,CUB,2000,77.06552008872539,RPM,589.0,1.0
Cyprus,CYP,2006,95.23149317073386,RPM,290.8795180722892,1.0
Cyprus,CYP,2006,95.79756866166456,RPM,3222.0,1.0
Denmark,DNK,1967,97.4865822376,RPM,628.0,1.0
Djibouti,DJI,2017,60.0,RPM,2770.0,1.0
Dominica,DMA,2005,65.78700679147988,RPM,373.0,1.0
Dominica,DMA,2005,66.288803557475,RPM,352.0,1.0
Dominican Republic,DOM,1982,89.15,WIS,34.0,2.0
Ecuador,ECU,1998,84.88163599999999,RPM,25.0,1.0
Ecuador,ECU,1998,64.65271562500001,RPM,16.0,1.0
Ecuador,ECU,2010,78.2477012,RPM,26.0,1.0
Ecuador,ECU,2010,79.18593239999998,RPM,59.0,1.0
Egypt,EGY,1986,97.88647032418768,RPM,2385.0,1.0
Egypt,EGY,1986,87.429598,RPM,5215.0,1.0
Egypt,EGY,1988,77.08314129294482,RPM,452.0,1.0
Egypt,EGY,1995,63.99891185468751,RPM,110.0,1.0
Egypt,EGY,1995,70.59999999999998,WIS,110.0,2.0
