sample_id,iso3,country,year,IQ,n_individuals,test_type,Region,population,IQ_national
AGO7765,AGO,Angola,2013,75.1,19.0,WIS,Sub-Saharan Africa,29310273.0,75.1
ARG8078,ARG,Argentina,1948,86.2212581448,1680.0,RPM,Latin America & Caribbean,43886748.0,87.46316180009295
ARG2424,ARG,Argentina,1964,89.51733390640001,880.0,RPM,Latin America & Caribbean,43886748.0,87.46316180009295
ARG8081,ARG,Argentina,1996,104.52186666666668,420.0,RPM,Latin America & Caribbean,43886748.0,87.46316180009295
ARG2485,ARG,Argentina,1997,100.5950203112,1740.0,RPM,Latin America & Caribbean,43886748.0,87.46316180009295
ARG2436,ARG,Argentina,1998,99.70005819999997,1390.0,RPM,Latin America & Caribbean,43886748.0,87.46316180009295
AUS5624,AUS,Australia,1980,97.99766666666667,640.0,RPM,East Asia & Pacific,22992654.0,99.19856306611274
AUS3651,AUS,Australia,1986,105.83279095645207,666.6666666666667,RPM,East Asia & Pacific,22992654.0,99.19856306611274
AUS4319,AUS,Australia,1986,100.28304733333331,3333.3333333333335,RPM,East Asia & Pacific,22992654.0,99.19856306611274
AUS4314,AUS,Australia,2005,93.59782868361667,615.0,RPM,East Asia & Pacific,22992654.0,99.19856306611274
AUS5488,AUS,Australia,2016,96.32748683919999,455.0,RPM,East Asia & Pacific,22992654.0,99.19856306611274
AUS3074,AUS,Australia,2017,98.39273104719999,252.0,RPM,East Asia & Pacific,22992654.0,99.19856306611274
AUT6231,AUT,Austria,1991,98.87204902289997,81.0,RPM,Europe & Central Asia,8711770.0,99.76525160283995
AUT2215,AUT,Austria,2008,119.23210385625,51.0,RPM,Europe & Central Asia,8711770.0,99.76525160283995
AUT4153,AUT,Austria,2008,88.57819756750334,71.0,RPM,Europe & Central Asia,8711770.0,99.76525160283995
BHS6343,BHS,"Bahamas, The",1988,87.28999999999999,694.0,OLSAT,Latin America & Caribbean,327316.0,86.94749659863945
BHS4254,BHS,"Bahamas, The",1999,81.14999999999998,29.0,WIS,Latin America & Caribbean,327316.0,86.94749659863945
BHR9522,BHR,Bahrain,2015,86.81909626719056,1018.0,WIS,Middle East & North Africa,1378904.0,83.60100933649022
BGD7140,BGD,Bangladesh,1995,88.46000000000001,246.0,MSE,South Asia,156186882.0,74.35863487851384
BGD7433,BGD,Bangladesh,1995,75.66,426.0,MSE,South Asia,156186882.0,74.35863487851384
BGD1844,BGD,Bangladesh,2004,75.63176411290323,3964.0,RPM,South Asia,156186882.0,74.35863487851384
BGD3896,BGD,Bangladesh,2004,71.91999999999999,4111.0,WIS,South Asia,156186882.0,74.35863487851384
BGD9287,BGD,Bangladesh,2004,72.38,296.0,WIS,South Asia,156186882.0,74.35863487851384
BRB1174,BRB,Barbados,1987,88.58166666666666,58.0,WIS,Latin America & Caribbean,291495.0,91.6876385076751
BRB6124,BRB,Barbados,2014,94.14999999999999,59.0,WIS,Latin America & Caribbean,291495.0,91.6876385076751
BLR4679,BLR,Belarus,2003,97.7,6912.0,WIS,Europe & Central Asia,9570376.0,98.39933401571972
BLR3775,BLR,Belarus,2003,105.5,6912.0,WIS,Europe & Central Asia,9570376.0,98.39933401571972
BEL2726,BEL,Belgium,1997,96.63423076923077,104.0,WIS,Europe & Central Asia,11409077.0,98.27021911016558
BEL5263,BEL,Belgium,1998,98.79999999999997,761.0,WIS,Europe & Central Asia,11409077.0,98.27021911016558
BEN3861,BEN,Benin,2017,70.35899155794769,4054.0,RPM,Sub-Saharan Africa,11038805.0,70.35899155794769
BMU6957,BMU,Bermuda,1976,85.82,89.0,WIS,Latin America & Caribbean,70537.0,93.19469974715551
BMU2904,BMU,Bermuda,1985,95.58,163.0,SBIS,Latin America & Caribbean,70537.0,93.19469974715551
BMU3524,BMU,Bermuda,1985,93.23,163.0,SBIS,Latin America & Caribbean,70537.0,93.19469974715551
BMU2475,BMU,Bermuda,1988,95.16,200.0,SBIS,Latin America & Caribbean,70537.0,93.19469974715551
BOL4654,BOL,Bolivia,1970,67.94999999999999,94.0,SBIS,Latin America & Caribbean,10969649.0,77.34942307692307
BOL1444,BOL,Bolivia,2006,91.38,41.0,WIS,Latin America & Caribbean,10969649.0,77.34942307692307
BOL1632,BOL,Bolivia,2006,92.03,21.0,WIS,Latin America & Caribbean,10969649.0,77.34942307692307
BIH1725,BIH,Bosnia and Herzegovina,2005,93.08230928024422,239.0,RPM,Europe & Central Asia,3861912.0,88.05731899737054
BIH6364,BIH,Bosnia and Herzegovina,2005,88.76494287519998,266.0,RPM,Europe & Central Asia,3861912.0,88.05731899737054
BWA2323,BWA,Botswana,1995,76.06157116051497,140.0,RPM,Sub-Saharan Africa,2209208.0,69.44598733204616
BRA4770,BRA,Brazil,1988,82.33750714285713,1417.0,RPM,Latin America & Caribbean,205823665.0,83.48832937018817
BRA9512,BRA,Brazil,1990,89.96201301120004,562.0,RPM,Latin America & Caribbean,205823665.0,83.48832937018817
BRA2002,BRA,Brazil,2000,66.38821519999999,223.0,RPM,Latin America & Caribbean,205823665.0,83.48832937018817
BRA2511,BRA,Brazil,2000,97.061,186.0,RPM,Latin America & Caribbean,205823665.0,83.48832937018817
