colour	y	x	showSelected1	fill
#0D3A6B	2	1	miss	#0D3A6B
#0D3A6B	2	2	miss	#0D3A6B
#4283C9	3	3	hit	#4283C9
#0D3A6B	2.66666666666667	4	miss	#0D3A6B
#0D3A6B	2.5	5	miss	#0D3A6B
#0D3A6B	2.4	6	miss	#0D3A6B
#0D3A6B	2.33333333333333	7	miss	#0D3A6B
#4283C9	2.66666666666667	8	hit	#4283C9
#0D3A6B	2.57142857142857	9	miss	#0D3A6B
#0D3A6B	2.5	10	miss	#0D3A6B
#4283C9	2.75	11	hit	#4283C9
#4283C9	3	12	hit	#4283C9
#4283C9	3.25	13	hit	#4283C9
#0D3A6B	3.11111111111111	14	miss	#0D3A6B
#0D3A6B	3	15	miss	#0D3A6B
#0D3A6B	2.90909090909091	16	miss	#0D3A6B
#0D3A6B	2.83333333333333	17	miss	#0D3A6B
#0D3A6B	2.76923076923077	18	miss	#0D3A6B
#0D3A6B	2.71428571428571	19	miss	#0D3A6B
#0D3A6B	2.66666666666667	20	miss	#0D3A6B
#0D3A6B	2.625	21	miss	#0D3A6B
#0D3A6B	2.58823529411765	22	miss	#0D3A6B
#0D3A6B	2.55555555555556	23	miss	#0D3A6B
#0D3A6B	2.52631578947368	24	miss	#0D3A6B
#4283C9	2.63157894736842	25	hit	#4283C9
#0D3A6B	2.6	26	miss	#0D3A6B
#4283C9	2.7	27	hit	#4283C9
#0D3A6B	2.66666666666667	28	miss	#0D3A6B
#4283C9	2.76190476190476	29	hit	#4283C9
#0D3A6B	2.72727272727273	30	miss	#0D3A6B
#4283C9	2.81818181818182	31	hit	#4283C9
#4283C9	2.90909090909091	32	hit	#4283C9
#4283C9	3	33	hit	#4283C9
#0D3A6B	2.95652173913043	34	miss	#0D3A6B
#4283C9	3.04347826086957	35	hit	#4283C9
#4283C9	3.1304347826087	36	hit	#4283C9
#0D3A6B	3.08333333333333	37	miss	#0D3A6B
#0D3A6B	3.04	38	miss	#0D3A6B
#4283C9	3.12	39	hit	#4283C9
#4283C9	3.2	40	hit	#4283C9
#4283C9	3.28	41	hit	#4283C9
#4283C9	3.36	42	hit	#4283C9
#0D3A6B	3.30769230769231	43	miss	#0D3A6B
#0D3A6B	3.25925925925926	44	miss	#0D3A6B
#0D3A6B	3.21428571428571	45	miss	#0D3A6B
#0D3A6B	3.17241379310345	46	miss	#0D3A6B
#0D3A6B	3.13333333333333	47	miss	#0D3A6B
#0D3A6B	3.09677419354839	48	miss	#0D3A6B
#0D3A6B	3.0625	49	miss	#0D3A6B
#4283C9	3.125	50	hit	#4283C9
#0D3A6B	3.09090909090909	51	miss	#0D3A6B
#4283C9	3.15151515151515	52	hit	#4283C9
#0D3A6B	3.11764705882353	53	miss	#0D3A6B
#0D3A6B	3.08571428571429	54	miss	#0D3A6B
#0D3A6B	3.05555555555556	55	miss	#0D3A6B
#4283C9	3.11111111111111	56	hit	#4283C9
#0D3A6B	3.08108108108108	57	miss	#0D3A6B
#0D3A6B	3.05263157894737	58	miss	#0D3A6B
#4283C9	3.10526315789474	59	hit	#4283C9
#4283C9	3.15789473684211	60	hit	#4283C9
#4283C9	3.21052631578947	61	hit	#4283C9
#4283C9	3.26315789473684	62	hit	#4283C9
#0D3A6B	3.23076923076923	63	miss	#0D3A6B
#4283C9	3.28205128205128	64	hit	#4283C9
#0D3A6B	3.25	65	miss	#0D3A6B
#0D3A6B	3.21951219512195	66	miss	#0D3A6B
#0D3A6B	3.19047619047619	67	miss	#0D3A6B
#4283C9	3.23809523809524	68	hit	#4283C9
#0D3A6B	3.2093023255814	69	miss	#0D3A6B
#4283C9	3.25581395348837	70	hit	#4283C9
#0D3A6B	3.22727272727273	71	miss	#0D3A6B
#4283C9	3.27272727272727	72	hit	#4283C9
#4283C9	3.31818181818182	73	hit	#4283C9
#4283C9	3.36363636363636	74	hit	#4283C9
#0D3A6B	3.33333333333333	75	miss	#0D3A6B
#0D3A6B	3.30434782608696	76	miss	#0D3A6B
#4283C9	3.34782608695652	77	hit	#4283C9
#0D3A6B	3.31914893617021	78	miss	#0D3A6B
#4283C9	3.36170212765957	79	hit	#4283C9
#4283C9	3.40425531914894	80	hit	#4283C9
#0D3A6B	3.375	81	miss	#0D3A6B
#0D3A6B	3.3469387755102	82	miss	#0D3A6B
#0D3A6B	3.32	83	miss	#0D3A6B
#0D3A6B	3.29411764705882	84	miss	#0D3A6B
#0D3A6B	3.26923076923077	85	miss	#0D3A6B
#4283C9	3.30769230769231	86	hit	#4283C9
#0D3A6B	3.28301886792453	87	miss	#0D3A6B
#0D3A6B	3.25925925925926	88	miss	#0D3A6B
#0D3A6B	3.23636363636364	89	miss	#0D3A6B
#0D3A6B	3.21428571428571	90	miss	#0D3A6B
#0D3A6B	3.19298245614035	91	miss	#0D3A6B
#0D3A6B	3.17241379310345	92	miss	#0D3A6B
#0D3A6B	3.15254237288136	93	miss	#0D3A6B
#4283C9	3.1864406779661	94	hit	#4283C9
#4283C9	3.22033898305085	95	hit	#4283C9
#4283C9	3.25423728813559	96	hit	#4283C9
#0D3A6B	3.23333333333333	97	miss	#0D3A6B
#0D3A6B	3.21311475409836	98	miss	#0D3A6B
#4283C9	3.24590163934426	99	hit	#4283C9
#4283C9	3.27868852459016	100	hit	#4283C9
#0D3A6B	3.25806451612903	101	miss	#0D3A6B
#4283C9	3.29032258064516	102	hit	#4283C9
#0D3A6B	3.26984126984127	103	miss	#0D3A6B
#4283C9	3.3015873015873	104	hit	#4283C9
#4283C9	3.33333333333333	105	hit	#4283C9
#4283C9	3.36507936507937	106	hit	#4283C9
#4283C9	3.3968253968254	107	hit	#4283C9
#0D3A6B	3.375	108	miss	#0D3A6B
#4283C9	3.40625	109	hit	#4283C9
#4283C9	3.4375	110	hit	#4283C9
#4283C9	3.46875	111	hit	#4283C9
#0D3A6B	3.44615384615385	112	miss	#0D3A6B
#0D3A6B	3.42424242424242	113	miss	#0D3A6B
#0D3A6B	3.40298507462687	114	miss	#0D3A6B
#0D3A6B	3.38235294117647	115	miss	#0D3A6B
#0D3A6B	3.36231884057971	116	miss	#0D3A6B
#0D3A6B	3.34285714285714	117	miss	#0D3A6B
#4283C9	3.37142857142857	118	hit	#4283C9
#4283C9	3.4	119	hit	#4283C9
#0D3A6B	3.38028169014085	120	miss	#0D3A6B
#4283C9	3.40845070422535	121	hit	#4283C9
#0D3A6B	3.38888888888889	122	miss	#0D3A6B
#0D3A6B	3.36986301369863	123	miss	#0D3A6B
#4283C9	3.3972602739726	124	hit	#4283C9
#0D3A6B	3.37837837837838	125	miss	#0D3A6B
#0D3A6B	3.36	126	miss	#0D3A6B
#4283C9	3.38666666666667	127	hit	#4283C9
#0D3A6B	3.36842105263158	128	miss	#0D3A6B
#0D3A6B	3.35064935064935	129	miss	#0D3A6B
#4283C9	3.37662337662338	130	hit	#4283C9
#4283C9	3.4025974025974	131	hit	#4283C9
#0D3A6B	3.38461538461538	132	miss	#0D3A6B
#4283C9	3.41025641025641	133	hit	#4283C9
#0D3A6B	3.39240506329114	134	miss	#0D3A6B
#4283C9	3.41772151898734	135	hit	#4283C9
#4283C9	3.44303797468354	136	hit	#4283C9
#4283C9	3.46835443037975	137	hit	#4283C9
#0D3A6B	3.45	138	miss	#0D3A6B
#4283C9	3.475	139	hit	#4283C9
#0D3A6B	3.45679012345679	140	miss	#0D3A6B
#0D3A6B	3.4390243902439	141	miss	#0D3A6B
#0D3A6B	3.42168674698795	142	miss	#0D3A6B
#0D3A6B	3.4047619047619	143	miss	#0D3A6B
#0D3A6B	3.38823529411765	144	miss	#0D3A6B
#4283C9	3.41176470588235	145	hit	#4283C9
#0D3A6B	3.3953488372093	146	miss	#0D3A6B
#0D3A6B	3.37931034482759	147	miss	#0D3A6B
#0D3A6B	3.36363636363636	148	miss	#0D3A6B
#4283C9	3.38636363636364	149	hit	#4283C9
#4283C9	3.40909090909091	150	hit	#4283C9
#0D3A6B	3.39325842696629	151	miss	#0D3A6B
#4283C9	3.41573033707865	152	hit	#4283C9
#4283C9	3.43820224719101	153	hit	#4283C9
#4283C9	3.46067415730337	154	hit	#4283C9
#4283C9	3.48314606741573	155	hit	#4283C9
#0D3A6B	3.46666666666667	156	miss	#0D3A6B
#0D3A6B	3.45054945054945	157	miss	#0D3A6B
#0D3A6B	3.43478260869565	158	miss	#0D3A6B
#4283C9	3.45652173913043	159	hit	#4283C9
