x	y
12	12
11	11
13	11
10	10
12	10
14	10
9	9
11	9
13	9
15	9
8	8
10	8
12	8
14	8
16	8
7	7
9	7
11	7
13	7
15	7
17	7
6	6
8	6
10	6
12	6
14	6
16	6
18	6
5	5
7	5
9	5
11	5
13	5
15	5
17	5
19	5
4	4
6	4
8	4
10	4
12	4
14	4
16	4
18	4
20	4
3	3
5	3
7	3
9	3
11	3
13	3
15	3
17	3
19	3
21	3
2	2
4	2
6	2
8	2
10	2
12	2
14	2
16	2
18	2
20	2
22	2
1	1
3	1
5	1
7	1
9	1
11	1
13	1
15	1
17	1
19	1
21	1
23	1
0	0
2	0
4	0
6	0
8	0
10	0
12	0
14	0
16	0
18	0
20	0
22	0
24	0
