x	y	showSelected1
12	11	1
11	10	2
12	11	2
12	9	3
11	10	3
12	11	3
13	8	4
10	9	4
13	10	4
12	11	4
12	7	5
11	8	5
14	9	5
11	10	5
12	11	5
11	6	6
10	7	6
15	8	6
12	9	6
13	10	6
12	11	6
12	5	7
9	6	7
14	7	7
13	8	7
12	9	7
11	10	7
12	11	7
13	4	8
10	5	8
15	6	8
12	7	8
13	8	8
10	9	8
13	10	8
12	11	8
14	3	9
11	4	9
14	5	9
13	6	9
14	7	9
11	8	9
14	9	9
11	10	9
12	11	9
13	2	10
12	3	10
13	4	10
14	5	10
13	6	10
12	7	10
15	8	10
10	9	10
13	10	10
12	11	10
12	1	11
13	2	11
14	3	11
13	4	11
14	5	11
13	6	11
16	7	11
9	8	11
12	9	11
13	10	11
12	11	11
11	0	12
12	1	12
13	2	12
12	3	12
15	4	12
14	5	12
15	6	12
10	7	12
11	8	12
12	9	12
11	10	12
12	11	12
11	0	13
12	1	13
13	2	13
16	3	13
15	4	13
14	5	13
11	6	13
12	7	13
11	8	13
12	9	13
13	10	13
12	11	13
11	0	14
14	1	14
17	2	14
16	3	14
15	4	14
10	5	14
13	6	14
10	7	14
11	8	14
12	9	14
11	10	14
12	11	14
13	0	15
18	1	15
15	2	15
16	3	15
9	4	15
12	5	15
11	6	15
10	7	15
11	8	15
10	9	15
11	10	15
12	11	15
17	0	16
16	1	16
17	2	16
8	3	16
13	4	16
10	5	16
9	6	16
10	7	16
11	8	16
12	9	16
11	10	16
12	11	16
15	0	17
16	1	17
7	2	17
14	3	17
11	4	17
8	5	17
9	6	17
12	7	17
11	8	17
10	9	17
11	10	17
12	11	17
17	0	18
6	1	18
15	2	18
12	3	18
7	4	18
10	5	18
13	6	18
12	7	18
9	8	18
12	9	18
11	10	18
12	11	18
7	0	19
14	1	19
11	2	19
6	3	19
11	4	19
12	5	19
13	6	19
10	7	19
13	8	19
12	9	19
11	10	19
12	11	19
15	0	20
10	1	20
5	2	20
12	3	20
11	4	20
12	5	20
9	6	20
12	7	20
11	8	20
10	9	20
11	10	20
12	11	20
11	0	21
6	1	21
11	2	21
10	3	21
11	4	21
8	5	21
11	6	21
10	7	21
11	8	21
12	9	21
13	10	21
12	11	21
5	0	22
10	1	22
11	2	22
10	3	22
7	4	22
10	5	22
9	6	22
12	7	22
13	8	22
14	9	22
11	10	22
12	11	22
11	0	23
10	1	23
9	2	23
8	3	23
9	4	23
10	5	23
13	6	23
12	7	23
13	8	23
10	9	23
11	10	23
12	11	23
11	0	24
8	1	24
7	2	24
8	3	24
9	4	24
12	5	24
11	6	24
12	7	24
9	8	24
12	9	24
11	10	24
12	11	24
7	0	25
8	1	25
9	2	25
8	3	25
11	4	25
10	5	25
13	6	25
10	7	25
13	8	25
12	9	25
11	10	25
12	11	25
7	0	26
8	1	26
7	2	26
10	3	26
9	4	26
14	5	26
9	6	26
12	7	26
11	8	26
12	9	26
13	10	26
12	11	26
7	0	27
8	1	27
9	2	27
8	3	27
13	4	27
10	5	27
13	6	27
12	7	27
13	8	27
12	9	27
11	10	27
12	11	27
7	0	28
8	1	28
