x	y	showSelected1
12	11	1
13	10	2
12	11	2
12	9	3
11	10	3
12	11	3
13	8	4
12	9	4
11	10	4
12	11	4
12	7	5
11	8	5
12	9	5
13	10	5
12	11	5
11	6	6
12	7	6
11	8	6
14	9	6
13	10	6
12	11	6
10	5	7
11	6	7
10	7	7
15	8	7
12	9	7
11	10	7
12	11	7
9	4	8
12	5	8
11	6	8
14	7	8
11	8	8
12	9	8
11	10	8
12	11	8
10	3	9
11	4	9
10	5	9
15	6	9
10	7	9
13	8	9
12	9	9
13	10	9
12	11	9
11	2	10
10	3	10
11	4	10
16	5	10
9	6	10
14	7	10
11	8	10
12	9	10
13	10	10
12	11	10
10	1	11
9	2	11
12	3	11
15	4	11
8	5	11
15	6	11
12	7	11
11	8	11
12	9	11
11	10	11
12	11	11
9	0	12
10	1	12
13	2	12
16	3	12
7	4	12
14	5	12
13	6	12
10	7	12
13	8	12
10	9	12
11	10	12
12	11	12
9	0	13
12	1	13
15	2	13
8	3	13
13	4	13
14	5	13
11	6	13
14	7	13
11	8	13
10	9	13
11	10	13
12	11	13
13	0	14
14	1	14
9	2	14
14	3	14
15	4	14
10	5	14
15	6	14
12	7	14
9	8	14
10	9	14
13	10	14
12	11	14
13	0	15
10	1	15
13	2	15
16	3	15
9	4	15
14	5	15
13	6	15
10	7	15
9	8	15
14	9	15
11	10	15
12	11	15
9	0	16
14	1	16
17	2	16
8	3	16
15	4	16
14	5	16
11	6	16
10	7	16
13	8	16
12	9	16
11	10	16
12	11	16
13	0	17
18	1	17
7	2	17
14	3	17
15	4	17
10	5	17
11	6	17
14	7	17
13	8	17
10	9	17
11	10	17
12	11	17
19	0	18
8	1	18
13	2	18
14	3	18
11	4	18
12	5	18
15	6	18
14	7	18
9	8	18
10	9	18
11	10	18
12	11	18
7	0	19
14	1	19
15	2	19
10	3	19
11	4	19
14	5	19
13	6	19
10	7	19
9	8	19
10	9	19
13	10	19
12	11	19
15	0	20
14	1	20
11	2	20
10	3	20
15	4	20
12	5	20
9	6	20
10	7	20
9	8	20
14	9	20
13	10	20
12	11	20
15	0	21
12	1	21
9	2	21
16	3	21
11	4	21
10	5	21
9	6	21
8	7	21
13	8	21
12	9	21
13	10	21
12	11	21
13	0	22
8	1	22
15	2	22
12	3	22
9	4	22
8	5	22
7	6	22
12	7	22
11	8	22
12	9	22
13	10	22
12	11	22
9	0	23
14	1	23
13	2	23
10	3	23
9	4	23
8	5	23
11	6	23
12	7	23
13	8	23
14	9	23
13	10	23
12	11	23
15	0	24
12	1	24
11	2	24
10	3	24
9	4	24
12	5	24
11	6	24
14	7	24
15	8	24
14	9	24
13	10	24
12	11	24
13	0	25
12	1	25
11	2	25
10	3	25
11	4	25
12	5	25
15	6	25
14	7	25
15	8	25
14	9	25
11	10	25
12	11	25
13	0	26
12	1	26
11	2	26
12	3	26
11	4	26
14	5	26
15	6	26
16	7	26
13	8	26
12	9	26
13	10	26
12	11	26
13	0	27
10	1	27
13	2	27
10	3	27
15	4	27
14	5	27
17	6	27
14	7	27
13	8	27
12	9	27
13	10	27
12	11	27
9	0	28
12	1	28
11	2	28
16	3	28
15	4	28
16	5	28
15	6	28
14	7	28
11	8	28
12	9	28
11	10	28
12	11	28
11	0	29
12	1	29
15	2	29
16	3	29
17	4	29
14	5	29
15	6	29
12	7	29
13	8	29
12	9	29
13	10	29
12	11	29
11	0	30
16	1	30
17	2	30
16	3	30
13	4	30
16	5	30
11	6	30
12	7	30
13	8	30
14	9	30
13	10	30
12	11	30
15	0	31
16	1	31
17	2	31
14	3	31
17	4	31
12	5	31
13	6	31
14	7	31
13	8	31
12	9	31
11	10	31
12	11	31
17	0	32
16	1	32
15	2	32
16	3	32
11	4	32
14	5	32
15	6	32
14	7	32
11	8	32
12	9	32
11	10	32
12	11	32
15	0	33
16	1	33
15	2	33
10	3	33
13	4	33
16	5	33
15	6	33
10	7	33
11	8	33
10	9	33
13	10	33
12	11	33
17	0	34
14	1	34
11	2	34
14	3	34
17	4	34
16	5	34
11	6	34
12	7	34
11	8	34
14	9	34
11	10	34
12	11	34
15	0	35
12	1	35
13	2	35
16	3	35
17	4	35
12	5	35
11	6	35
12	7	35
13	8	35
12	9	35
11	10	35
12	11	35
13	0	36
12	1	36
15	2	36
16	3	36
13	4	36
10	5	36
13	6	36
12	7	36
11	8	36
12	9	36
13	10	36
12	11	36
11	0	37
14	1	37
15	2	37
