showSelected1	ymin	ymax	xmin	xmax
1	0	0	0.55	1.45
1	0	0	1.55	2.45
1	0	0	2.55	3.45
1	0	0	3.55	4.45
1	0	0	4.55	5.45
1	0	0	5.55	6.45
1	0	0	6.55	7.45
1	0	0	7.55	8.45
1	0	0	8.55	9.45
1	0	0	9.55	10.45
1	0	0	10.55	11.45
1	0	0	11.55	12.45
1	0	0	12.55	13.45
1	0	0	13.55	14.45
1	0	0	14.55	15.45
2	0	0	0.55	1.45
2	0	0	1.55	2.45
2	0	0	2.55	3.45
2	0	0	3.55	4.45
2	0	0	4.55	5.45
2	0	0	5.55	6.45
2	0	0	6.55	7.45
2	0	0	7.55	8.45
2	0	0	8.55	9.45
2	0	0	9.55	10.45
2	0	0	10.55	11.45
2	0	0	11.55	12.45
2	0	0	12.55	13.45
2	0	0	13.55	14.45
2	0	0	14.55	15.45
3	0	0	0.55	1.45
3	0	0	1.55	2.45
3	0	0	2.55	3.45
3	0	0	3.55	4.45
3	0	0	4.55	5.45
3	0	0	5.55	6.45
3	0	0	6.55	7.45
3	0	0	7.55	8.45
3	0	0	8.55	9.45
3	0	0	9.55	10.45
3	0	0	10.55	11.45
3	0	0	11.55	12.45
3	0	0	12.55	13.45
3	0	0	13.55	14.45
3	0	0	14.55	15.45
4	0	0	0.55	1.45
4	0	0	1.55	2.45
4	0	0	2.55	3.45
4	0	0	3.55	4.45
4	0	0	4.55	5.45
4	0	0	5.55	6.45
4	0	0	6.55	7.45
4	0	0	7.55	8.45
4	0	0	8.55	9.45
4	0	0	9.55	10.45
4	0	0	10.55	11.45
4	0	0	11.55	12.45
4	0	0	12.55	13.45
4	0	0	13.55	14.45
4	0	0	14.55	15.45
5	0	0	0.55	1.45
5	0	0	1.55	2.45
5	0	0	2.55	3.45
5	0	0	3.55	4.45
5	0	0	4.55	5.45
5	0	0	5.55	6.45
5	0	0	6.55	7.45
5	0	0	7.55	8.45
5	0	0	8.55	9.45
5	0	0	9.55	10.45
5	0	0	10.55	11.45
5	0	0	11.55	12.45
5	0	0	12.55	13.45
5	0	0	13.55	14.45
5	0	0	14.55	15.45
6	0	0	0.55	1.45
6	0	0	1.55	2.45
6	0	0	2.55	3.45
6	0	0	3.55	4.45
6	0	0	4.55	5.45
6	0	0	5.55	6.45
6	0	0	6.55	7.45
6	0	0	7.55	8.45
6	0	0	8.55	9.45
6	0	0	9.55	10.45
6	0	0	10.55	11.45
6	0	0	11.55	12.45
6	0	0	12.55	13.45
