group	x	y	showSelected1
1	1	0	1
1	2	0	1
1	3	0	1
1	4	0	1
1	5	0	1
1	6	0	1
1	7	0	1
1	8	0	1
1	9	0	1
1	10	0	1
1	11	0	1
1	12	0	1
1	13	0	1
1	14	0	1
1	15	0	1
2	1	0	2
2	2	0	2
2	3	0	2
2	4	0	2
2	5	0	2
2	6	0	2
2	7	0	2
2	8	0	2
2	9	0	2
2	10	0	2
2	11	0	2
2	12	0	2
2	13	0	2
2	14	0	2
2	15	0	2
3	1	0	3
3	2	0	3
3	3	0	3
3	4	0	3
3	5	0	3
3	6	0	3
3	7	0	3
3	8	0	3
3	9	0	3
3	10	0	3
3	11	0	3
3	12	0	3
3	13	0	3
3	14	0	3
3	15	0	3
4	1	0	4
4	2	0	4
4	3	0	4
4	4	0	4
4	5	0	4
4	6	0	4
4	7	0	4
4	8	0	4
4	9	0	4
4	10	0	4
4	11	0	4
4	12	0	4
4	13	0	4
4	14	0	4
4	15	0	4
5	1	0	5
5	2	0	5
5	3	0	5
5	4	0	5
5	5	0	5
5	6	0	5
5	7	0	5
5	8	0	5
5	9	0	5
5	10	0	5
5	11	0	5
5	12	0	5
5	13	0	5
5	14	0	5
5	15	0	5
6	1	0	6
6	2	0	6
6	3	0	6
6	4	0	6
6	5	0	6
6	6	0	6
6	7	0	6
6	8	0	6
6	9	0	6
6	10	0	6
6	11	0	6
6	12	0	6
6	13	0	6
6	14	0	6
6	15	0	6
7	1	0	7
7	2	0	7
7	3	0	7
7	4	0	7
7	5	0	7
7	6	0	7
7	7	0	7
7	8	0	7
7	9	0	7
7	10	0	7
7	11	0	7
7	12	0	7
7	13	0	7
7	14	0	7
7	15	0	7
8	1	0	8
8	2	0	8
8	3	0	8
8	4	0	8
8	5	0	8
8	6	0	8
8	7	0	8
8	8	0	8
8	9	0	8
8	10	0	8
8	11	0	8
8	12	0	8
8	13	0	8
8	14	0	8
8	15	0	8
9	1	0	9
9	2	0	9
9	3	0	9
9	4	0	9
9	5	0	9
9	6	0	9
9	7	0	9
9	8	0	9
9	9	0	9
9	10	0	9
9	11	0	9
9	12	0	9
9	13	0	9
9	14	0	9
9	15	0	9
10	1	0	10
10	2	0	10
10	3	0	10
10	4	0	10
10	5	0	10
10	6	0	10
10	7	0	10
10	8	0	10
10	9	0	10
10	10	0	10
10	11	0	10
10	12	0	10
10	13	0	10
10	14	0	10
10	15	0	10
11	1	0	11
11	2	0	11
11	3	0	11
11	4	0	11
11	5	0	11
11	6	0	11
11	7	0	11
11	8	0	11
11	9	0	11
11	10	0	11
11	11	0	11
11	12	0	11
11	13	0	11
11	14	0	11
11	15	0	11
12	1	0	12
12	2	0	12
12	3	0	12
12	4	0	12
12	5	0	12
12	6	0	12
12	7	0	12
12	8	0	12
12	9	0	12
12	10	0	12
12	11	0	12
12	12	0	12
12	13	0	12
12	14	0	12
12	15	0	12
13	1	0	13
13	2	0	13
13	3	0	13
13	4	0	13
13	5	0	13
13	6	0	13
13	7	0	13
13	8	0	13
13	9	0	13
13	10	0	13
13	11	0	13
13	12	0	13
13	13	0	13
13	14	0	13
13	15	0	13
14	1	0	14
14	2	0	14
14	3	0	14
14	4	0	14
14	5	0	14
14	6	0	14
14	7	0	14
14	8	0	14
14	9	0	14
14	10	0	14
14	11	0	14
14	12	0	14
14	13	0	14
14	14	0	14
14	15	0	14
15	1	0	15
15	2	0	15
15	3	0	15
15	4	0	15
15	5	0	15
15	6	0	15
15	7	0	15
15	8	0	15
15	9	0	15
15	10	0	15
15	11	0	15
15	12	0	15
15	13	0	15
15	14	0	15
15	15	0	15
16	1	0	16
16	2	0	16
16	3	0	16
16	4	0	16
16	5	0	16
16	6	0	16
16	7	0	16
16	8	0	16
16	9	0	16
16	10	0	16
16	11	1	16
16	12	0	16
16	13	0	16
16	14	0	16
16	15	0	16
17	1	0	17
17	2	0	17
17	3	0	17
17	4	0	17
17	5	0	17
17	6	1	17
17	7	0	17
17	8	0	17
17	9	0	17
17	10	0	17
17	11	1	17
17	12	0	17
17	13	0	17
17	14	0	17
17	15	0	17
18	1	0	18
18	2	0	18
18	3	0	18
18	4	0	18
18	5	1	18
18	6	1	18
18	7	0	18
18	8	0	18
18	9	0	18
18	10	0	18
18	11	1	18
18	12	0	18
18	13	0	18
18	14	0	18
18	15	0	18
19	1	0	19
19	2	0	19
19	3	0	19
19	4	1	19
19	5	1	19
19	6	1	19
19	7	0	19
19	8	0	19
19	9	0	19
19	10	0	19
19	11	1	19
19	12	0	19
19	13	0	19
19	14	0	19
19	15	0	19
20	1	0	20
20	2	0	20
20	3	0	20
20	4	1	20
20	5	1	20
20	6	1	20
20	7	0	20
20	8	1	20
20	9	0	20
20	10	0	20
20	11	1	20
20	12	0	20
20	13	0	20
20	14	0	20
20	15	0	20
21	1	0	21
21	2	0	21
21	3	0	21
21	4	1	21
21	5	2	21
21	6	1	21
21	7	0	21
21	8	1	21
21	9	0	21
21	10	0	21
21	11	1	21
21	12	0	21
21	13	0	21
21	14	0	21
21	15	0	21
22	1	0	22
22	2	0	22
22	3	0	22
22	4	1	22
22	5	2	22
22	6	1	22
22	7	0	22
22	8	2	22
22	9	0	22
22	10	0	22
22	11	1	22
22	12	0	22
22	13	0	22
22	14	0	22
22	15	0	22
23	1	0	23
23	2	0	23
23	3	0	23
23	4	1	23
23	5	2	23
23	6	1	23
23	7	0	23
23	8	2	23
23	9	1	23
