x	y	showSelected1
16	15	1
15	14	2
16	15	2
16	13	3
15	14	3
16	15	3
17	12	4
14	13	4
17	14	4
16	15	4
16	11	5
15	12	5
18	13	5
17	14	5
16	15	5
15	10	6
14	11	6
17	12	6
16	13	6
15	14	6
16	15	6
16	9	7
13	10	7
18	11	7
17	12	7
16	13	7
15	14	7
16	15	7
15	8	8
12	9	8
19	10	8
18	11	8
17	12	8
16	13	8
17	14	8
16	15	8
16	7	9
11	8	9
20	9	9
19	10	9
18	11	9
15	12	9
18	13	9
15	14	9
16	15	9
17	6	10
10	7	10
21	8	10
18	9	10
19	10	10
16	11	10
19	12	10
14	13	10
15	14	10
16	15	10
18	5	11
9	6	11
20	7	11
17	8	11
20	9	11
17	10	11
20	11	11
13	12	11
16	13	11
15	14	11
16	15	11
19	4	12
10	5	12
21	6	12
16	7	12
19	8	12
16	9	12
21	10	12
14	11	12
17	12	12
16	13	12
17	14	12
16	15	12
18	3	13
9	4	13
22	5	13
17	6	13
18	7	13
17	8	13
20	9	13
13	10	13
16	11	13
17	12	13
18	13	13
17	14	13
16	15	13
19	2	14
8	3	14
21	4	14
16	5	14
19	6	14
16	7	14
21	8	14
12	9	14
15	10	14
18	11	14
19	12	14
18	13	14
15	14	14
16	15	14
20	1	15
9	2	15
22	3	15
17	4	15
20	5	15
17	6	15
22	7	15
13	8	15
14	9	15
19	10	15
20	11	15
19	12	15
14	13	15
15	14	15
16	15	15
21	0	16
8	1	16
23	2	16
16	3	16
19	4	16
16	5	16
23	6	16
12	7	16
15	8	16
20	9	16
21	10	16
20	11	16
13	12	16
16	13	16
17	14	16
16	15	16
9	0	17
24	1	17
15	2	17
18	3	17
15	4	17
22	5	17
13	6	17
16	7	17
21	8	17
20	9	17
21	10	17
12	11	17
17	12	17
16	13	17
17	14	17
16	15	17
23	0	18
16	1	18
19	2	18
16	3	18
23	4	18
14	5	18
17	6	18
20	7	18
19	8	18
20	9	18
11	10	18
16	11	18
17	12	18
16	13	18
15	14	18
16	15	18
17	0	19
20	1	19
17	2	19
24	3	19
13	4	19
16	5	19
19	6	19
18	7	19
19	8	19
12	9	19
17	10	19
16	11	19
17	12	19
14	13	19
15	14	19
16	15	19
21	0	20
18	1	20
23	2	20
14	3	20
17	4	20
20	5	20
19	6	20
20	7	20
13	8	20
18	9	20
17	10	20
16	11	20
15	12	20
16	13	20
17	14	20
16	15	20
19	0	21
24	1	21
15	2	21
18	3	21
21	4	21
18	5	21
21	6	21
14	7	21
19	8	21
18	9	21
15	10	21
14	11	21
15	12	21
16	13	21
17	14	21
16	15	21
23	0	22
16	1	22
17	2	22
20	3	22
17	4	22
22	5	22
15	6	22
20	7	22
17	8	22
14	9	22
15	10	22
16	11	22
17	12	22
16	13	22
15	14	22
16	15	22
17	0	23
18	1	23
21	2	23
18	3	23
23	4	23
16	5	23
21	6	23
16	7	23
13	8	23
16	9	23
17	10	23
18	11	23
17	12	23
14	13	23
17	14	23
16	15	23
19	0	24
20	1	24
17	2	24
24	3	24
15	4	24
22	5	24
17	6	24
14	7	24
17	8	24
16	9	24
17	10	24
18	11	24
15	12	24
18	13	24
15	14	24
16	15	24
