y	x	label	key	clickSelects	showSelected2
61.419	2011	Afghanistan	Afghanistan	Afghanistan	Afghanistan
78.092	2011	Albania	Albania	Albania	Albania
74.123	2011	Algeria	Algeria	Algeria	Algeria
57.596	2011	Angola	Angola	Angola	Angola
77.104	2011	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda
76.124	2011	Argentina	Argentina	Argentina	Argentina
73.305	2011	Armenia	Armenia	Armenia	Armenia
69.984	2011	Azerbaijan	Azerbaijan	Azerbaijan	Azerbaijan
72.564	2011	Bahamas	Bahamas	Bahamas	Bahamas
78.89	2011	Bahrain	Bahrain	Bahrain	Bahrain
68.809	2011	Bangladesh	Bangladesh	Bangladesh	Bangladesh
75.917	2011	Barbados	Barbados	Barbados	Barbados
71.516	2011	Belarus	Belarus	Belarus	Belarus
72.651	2011	Belize	Belize	Belize	Belize
58.462	2011	Benin	Benin	Benin	Benin
68.881	2011	Bhutan	Bhutan	Bhutan	Bhutan
66.534	2011	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)
77.007	2011	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina
60.53	2011	Botswana	Botswana	Botswana	Botswana
73.343	2011	Brazil	Brazil	Brazil	Brazil
74.858	2011	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam
57.125	2011	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso
57.769	2011	Burundi	Burundi	Burundi	Burundi
74.257	2011	Cabo Verde	Cabo Verde	Cabo Verde	Cabo Verde
68.416	2011	Cambodia	Cambodia	Cambodia	Cambodia
57.133	2011	Cameroon	Cameroon	Cameroon	Cameroon
49.948	2011	Central African Republic	Central African Republic	Central African Republic	Central African Republic
50.009	2011	Chad	Chad	Chad	Chad
79.11	2011	Chile	Chile	Chile	Chile
75.903	2011	China	China	China	China
75.32	2011	Colombia	Colombia	Colombia	Colombia
61.503	2011	Comoros	Comoros	Comoros	Comoros
61.992	2011	Congo	Congo	Congo	Congo
57.069	2011	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)
79.348	2011	Costa Rica	Costa Rica	Costa Rica	Costa Rica
55.52	2011	Côte d'Ivoire	Côte d'Ivoire	Côte d'Ivoire	Côte d'Ivoire
77.76	2011	Cuba	Cuba	Cuba	Cuba
60.433	2011	Djibouti	Djibouti	Djibouti	Djibouti
69.695	2011	Dominica	Dominica	Dominica	Dominica
72.221	2011	Dominican Republic	Dominican Republic	Dominican Republic	Dominican Republic
75.743	2011	Ecuador	Ecuador	Ecuador	Ecuador
69.88	2011	Egypt	Egypt	Egypt	Egypt
71.859	2011	El Salvador	El Salvador	El Salvador	El Salvador
58.412	2011	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea
64.402	2011	Eritrea	Eritrea	Eritrea	Eritrea
48.195	2011	Eswatini (Kingdom of)	Eswatini (Kingdom of)	Eswatini (Kingdom of)	Eswatini (Kingdom of)
60.721	2011	Ethiopia	Ethiopia	Ethiopia	Ethiopia
67.523	2011	Fiji	Fiji	Fiji	Fiji
64.045	2011	Gabon	Gabon	Gabon	Gabon
61.526	2011	Gambia	Gambia	Gambia	Gambia
72.39	2011	Georgia	Georgia	Georgia	Georgia
61.652	2011	Ghana	Ghana	Ghana	Ghana
75.295	2011	Grenada	Grenada	Grenada	Grenada
71.177	2011	Guatemala	Guatemala	Guatemala	Guatemala
57.019	2011	Guinea	Guinea	Guinea	Guinea
56.967	2011	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau
66.982	2011	Guyana	Guyana	Guyana	Guyana
61.623	2011	Haiti	Haiti	Haiti	Haiti
71.439	2011	Honduras	Honduras	Honduras	Honduras
67.359	2011	India	India	India	India
68.823	2011	Indonesia	Indonesia	Indonesia	Indonesia
73.679	2011	Iran (Islamic Republic of)	Iran (Islamic Republic of)	Iran (Islamic Republic of)	Iran (Islamic Republic of)
67.659	2011	Iraq	Iraq	Iraq	Iraq
73.094	2011	Jamaica	Jamaica	Jamaica	Jamaica
74.189	2011	Jordan	Jordan	Jordan	Jordan
68.745	2011	Kazakhstan	Kazakhstan	Kazakhstan	Kazakhstan
61.046	2011	Kenya	Kenya	Kenya	Kenya
