y	x	label	key	clickSelects	showSelected2
2006.788911	2010	Afghanistan	Afghanistan	Afghanistan	Afghanistan
10643.04263	2010	Albania	Albania	Albania	Albania
10955.31455	2010	Algeria	Algeria	Algeria	Algeria
6909.368945	2010	Angola	Angola	Angola	Angola
17736.69548	2010	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda
22733.14315	2010	Argentina	Argentina	Argentina	Argentina
9517.273781	2010	Armenia	Armenia	Armenia	Armenia
13284.94553	2010	Azerbaijan	Azerbaijan	Azerbaijan	Azerbaijan
33591.01194	2010	Bahamas	Bahamas	Bahamas	Bahamas
41243.30109	2010	Bahrain	Bahrain	Bahrain	Bahrain
3673.457097	2010	Bangladesh	Bangladesh	Bangladesh	Bangladesh
15623.61226	2010	Barbados	Barbados	Barbados	Barbados
16988.21859	2010	Belarus	Belarus	Belarus	Belarus
8313.384667	2010	Belize	Belize	Belize	Belize
2619.711256	2010	Benin	Benin	Benin	Benin
7499.169622	2010	Bhutan	Bhutan	Bhutan	Bhutan
6184.584537	2010	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)
10809.66481	2010	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina
12163.34347	2010	Botswana	Botswana	Botswana	Botswana
14364.74082	2010	Brazil	Brazil	Brazil	Brazil
66217.42487	2010	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam
1614.946134	2010	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso
799.8836871	2010	Burundi	Burundi	Burundi	Burundi
6337.389066	2010	Cabo Verde	Cabo Verde	Cabo Verde	Cabo Verde
2619.522589	2010	Cambodia	Cambodia	Cambodia	Cambodia
3267.73722	2010	Cameroon	Cameroon	Cameroon	Cameroon
1146.736919	2010	Central African Republic	Central African Republic	Central African Republic	Central African Republic
1677.488582	2010	Chad	Chad	Chad	Chad
19825.32272	2010	Chile	Chile	Chile	Chile
8846.375168	2010	China	China	China	China
11472.10244	2010	Colombia	Colombia	Colombia	Colombia
3021.772787	2010	Comoros	Comoros	Comoros	Comoros
4464.773481	2010	Congo	Congo	Congo	Congo
809.7331854	2010	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)
16160.57354	2010	Costa Rica	Costa Rica	Costa Rica	Costa Rica
2670.426555	2010	Côte d'Ivoire	Côte d'Ivoire	Côte d'Ivoire	Côte d'Ivoire
7107.366451	2010	Cuba	Cuba	Cuba	Cuba
2813.874781	2010	Djibouti	Djibouti	Djibouti	Djibouti
13041.66426	2010	Dominica	Dominica	Dominica	Dominica
12229.39414	2010	Dominican Republic	Dominican Republic	Dominican Republic	Dominican Republic
10209.0123	2010	Ecuador	Ecuador	Ecuador	Ecuador
10130.44689	2010	Egypt	Egypt	Egypt	Egypt
7200.449289	2010	El Salvador	El Salvador	El Salvador	El Salvador
17020.66992	2010	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea
1429.313291	2010	Eritrea	Eritrea	Eritrea	Eritrea
6872.288421	2010	Eswatini (Kingdom of)	Eswatini (Kingdom of)	Eswatini (Kingdom of)	Eswatini (Kingdom of)
1234.251626	2010	Ethiopia	Ethiopia	Ethiopia	Ethiopia
9679.915841	2010	Fiji	Fiji	Fiji	Fiji
11492.06266	2010	Gabon	Gabon	Gabon	Gabon
2132.033879	2010	Gambia	Gambia	Gambia	Gambia
9581.980186	2010	Georgia	Georgia	Georgia	Georgia
3640.64144	2010	Ghana	Ghana	Ghana	Ghana
11646.19387	2010	Grenada	Grenada	Grenada	Grenada
7154.321512	2010	Guatemala	Guatemala	Guatemala	Guatemala
1836.011571	2010	Guinea	Guinea	Guinea	Guinea
1689.464873	2010	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau
9289.958781	2010	Guyana	Guyana	Guyana	Guyana
2948.218267	2010	Haiti	Haiti	Haiti	Haiti
4574.168511	2010	Honduras	Honduras	Honduras	Honduras
4167.862731	2010	India	India	India	India
7986.456491	2010	Indonesia	Indonesia	Indonesia	Indonesia
15102.61749	2010	Iran (Islamic Republic of)	Iran (Islamic Republic of)	Iran (Islamic Republic of)	Iran (Islamic Republic of)
8256.523015	2010	Iraq	Iraq	Iraq	Iraq
9343.559806	2010	Jamaica	Jamaica	Jamaica	Jamaica
11817.51988	2010	Jordan	Jordan	Jordan	Jordan
17976.27447	2010	Kazakhstan	Kazakhstan	Kazakhstan	Kazakhstan
3286.193143	2010	Kenya	Kenya	Kenya	Kenya
