yintercept	key	showSelected2
4.104444614	Afghanistan	Afghanistan
9.992659569	Albania	Albania
9.986069679	Algeria	Algeria
13.2326498	Argentina	Argentina
10.47511005	Armenia	Armenia
11.36043561	Bahamas	Bahamas
11.29162979	Bahrain	Bahrain
6.350590769	Bangladesh	Bangladesh
13.4984613	Barbados	Barbados
10.8098146	Belize	Belize
5.402366821	Benin	Benin
12.66768939	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)
10.34175014	Botswana	Botswana
13.10735002	Brazil	Brazil
11.76173973	Brunei Darussalam	Brunei Darussalam
4.496963561	Burundi	Burundi
7.313549836	Cambodia	Cambodia
7.795453906	Cameroon	Cameroon
4.298613099	Central African Republic	Central African Republic
11.91450367	Chile	Chile
8.580659866	China	China
10.52149963	Colombia	Colombia
10.31359406	Congo	Congo
6.480086862	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)
10.54668999	Costa Rica	Costa Rica
5.776167139	Côte d'Ivoire	Côte d'Ivoire
11.70328045	Cuba	Cuba
9.979880845	Dominican Republic	Dominican Republic
11.7798714	Ecuador	Ecuador
9.791897655	Egypt	Egypt
9.286313629	El Salvador	El Salvador
9.520150185	Eswatini (Kingdom of)	Eswatini (Kingdom of)
11.81484771	Fiji	Fiji
11.23745096	Gabon	Gabon
4.533031638	Gambia	Gambia
6.153321534	Ghana	Ghana
7.073040009	Guatemala	Guatemala
3.392210007	Guinea	Guinea
9.122386559	Guyana	Guyana
8.403166242	Haiti	Haiti
8.457868512	Honduras	Honduras
8.103639658	India	India
10.0645504	Indonesia	Indonesia
11.19091718	Iran (Islamic Republic of)	Iran (Islamic Republic of)
7.728070382	Iraq	Iraq
10.8899976	Jamaica	Jamaica
11.92829037	Jordan	Jordan
11.41485977	Kazakhstan	Kazakhstan
8.168958679	Kenya	Kenya
9.732179642	Kuwait	Kuwait
10.63169003	Kyrgyzstan	Kyrgyzstan
7.006539822	Lao People's Democratic Republic	Lao People's Democratic Republic
9.00813961	Lesotho	Lesotho
16.49295684	Libya	Libya
6.838300228	Malawi	Malawi
10.79310036	Malaysia	Malaysia
2.593649983	Mali	Mali
5.220449924	Mauritania	Mauritania
10.49821663	Mauritius	Mauritius
11.06476974	Mexico	Mexico
10.72288375	Moldova (Republic of)	Moldova (Republic of)
7.526760101	Mongolia	Mongolia
7.013629913	Morocco	Morocco
4.043809891	Mozambique	Mozambique
7.86823988	Myanmar	Myanmar
13.29930973	Namibia	Namibia
7.713659763	Nepal	Nepal
8.359110196	Nicaragua	Nicaragua
2.196359938	Niger	Niger
4.407876712	Pakistan	Pakistan
10.98091984	Panama	Panama
5.164788912	Papua New Guinea	Papua New Guinea
10.21538544	Paraguay	Paraguay
11.47558975	Peru	Peru
10.86535358	Philippines	Philippines
12.48740005	Qatar	Qatar
11.96405567	Saint Lucia	Saint Lucia
8.485098694	Sao Tome and Principe	Sao Tome and Principe
11.59308833	Saudi Arabia	Saudi Arabia
4.688775921	Senegal	Senegal
4.866043949	Sierra Leone	Sierra Leone
15.13413944	Singapore	Singapore
13.15561008	South Africa	South Africa
11.83901024	Sri Lanka	Sri Lanka
4.174908003	Sudan	Sudan
9.92553997	Syrian Arab Republic	Syrian Arab Republic
10.10999012	Tajikistan	Tajikistan
5.371089935	Tanzania (United Republic of)	Tanzania (United Republic of)
9.848629951	Thailand	Thailand
7.763629913	Togo	Togo
12.39393598	Tonga	Tonga
10.71014716	Trinidad and Tobago	Trinidad and Tobago
10.69999027	Tunisia	Tunisia
9.482930183	Türkiye	Türkiye
10.68630505	Tuvalu	Tuvalu
5.590559959	Uganda	Uganda
11.75526047	Ukraine	Ukraine
10.39297062	United Arab Emirates	United Arab Emirates
13.10777521	Uruguay	Uruguay
10.61830521	Venezuela (Bolivarian Republic of)	Venezuela (Bolivarian Republic of)
8.938534975	Viet Nam	Viet Nam
6.052797106	Yemen	Yemen
8.03167339	Zambia	Zambia
9.745918683	Zimbabwe	Zimbabwe
