y	x	label	key	clickSelects	showSelected2
4.396440763	1995	Afghanistan	Afghanistan	Afghanistan	Afghanistan
10.05914021	1995	Albania	Albania	Albania	Albania
9.958029747	1995	Algeria	Algeria	Algeria	Algeria
13.45425487	1995	Argentina	Argentina	Argentina	Argentina
10.17511988	1995	Armenia	Armenia	Armenia	Armenia
11.47485582	1995	Azerbaijan	Azerbaijan	Azerbaijan	Azerbaijan
11.37755013	1995	Bahamas	Bahamas	Bahamas	Bahamas
11.17031956	1995	Bahrain	Bahrain	Bahrain	Bahrain
6.553213437	1995	Bangladesh	Bangladesh	Bangladesh	Bangladesh
13.6356091	1995	Barbados	Barbados	Barbados	Barbados
12.00144958	1995	Belarus	Belarus	Belarus	Belarus
10.98299209	1995	Belize	Belize	Belize	Belize
5.560086862	1995	Benin	Benin	Benin	Benin
13.23278436	1995	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)
10.70094013	1995	Botswana	Botswana	Botswana	Botswana
13.15295115	1995	Brazil	Brazil	Brazil	Brazil
11.65198731	1995	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam
4.514097333	1995	Burundi	Burundi	Burundi	Burundi
7.421036508	1995	Cambodia	Cambodia	Cambodia	Cambodia
7.669185162	1995	Cameroon	Cameroon	Cameroon	Cameroon
4.400449556	1995	Central African Republic	Central African Republic	Central African Republic	Central African Republic
12.08984776	1995	Chile	Chile	Chile	Chile
8.725359917	1995	China	China	China	China
10.55655956	1995	Colombia	Colombia	Colombia	Colombia
10.124471	1995	Congo	Congo	Congo	Congo
6.5542202	1995	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)
10.698915	1995	Costa Rica	Costa Rica	Costa Rica	Costa Rica
5.888287707	1995	Côte d'Ivoire	Côte d'Ivoire	Côte d'Ivoire	Côte d'Ivoire
11.52468967	1995	Cuba	Cuba	Cuba	Cuba
2.83547008	1995	Djibouti	Djibouti	Djibouti	Djibouti
10.16164766	1995	Dominican Republic	Dominican Republic	Dominican Republic	Dominican Republic
11.95906853	1995	Ecuador	Ecuador	Ecuador	Ecuador
9.972420216	1995	Egypt	Egypt	Egypt	Egypt
9.610887718	1995	El Salvador	El Salvador	El Salvador	El Salvador
9.609889984	1995	Eswatini (Kingdom of)	Eswatini (Kingdom of)	Eswatini (Kingdom of)	Eswatini (Kingdom of)
11.86062018	1995	Fiji	Fiji	Fiji	Fiji
11.28127751	1995	Gabon	Gabon	Gabon	Gabon
4.723680019	1995	Gambia	Gambia	Gambia	Gambia
6.284409625	1995	Ghana	Ghana	Ghana	Ghana
7.169149876	1995	Guatemala	Guatemala	Guatemala	Guatemala
3.624340057	1995	Guinea	Guinea	Guinea	Guinea
9.293749469	1995	Guyana	Guyana	Guyana	Guyana
8.506138473	1995	Haiti	Haiti	Haiti	Haiti
8.575977198	1995	Honduras	Honduras	Honduras	Honduras
8.125499725	1995	India	India	India	India
10.25559044	1995	Indonesia	Indonesia	Indonesia	Indonesia
11.28991032	1995	Iran (Islamic Republic of)	Iran (Islamic Republic of)	Iran (Islamic Republic of)	Iran (Islamic Republic of)
7.838833406	1995	Iraq	Iraq	Iraq	Iraq
10.81220007	1995	Jamaica	Jamaica	Jamaica	Jamaica
11.98447037	1995	Jordan	Jordan	Jordan	Jordan
11.55536385	1995	Kazakhstan	Kazakhstan	Kazakhstan	Kazakhstan
8.244613974	1995	Kenya	Kenya	Kenya	Kenya
11.67164993	1995	Kuwait	Kuwait	Kuwait	Kuwait
10.29623985	1995	Kyrgyzstan	Kyrgyzstan	Kyrgyzstan	Kyrgyzstan
6.697710037	1995	Lao People's Democratic Republic	Lao People's Democratic Republic	Lao People's Democratic Republic	Lao People's Democratic Republic
9.087889671	1995	Lesotho	Lesotho	Lesotho	Lesotho
16.44760193	1995	Libya	Libya	Libya	Libya
10.48311996	1995	Malawi	Malawi	Malawi	Malawi
10.84197998	1995	Malaysia	Malaysia	Malaysia	Malaysia
9.679223577	1995	Maldives	Maldives	Maldives	Maldives
2.827260017	1995	Mali	Mali	Mali	Mali
5.381599903	1995	Mauritania	Mauritania	Mauritania	Mauritania
10.62985325	1995	Mauritius	Mauritius	Mauritius	Mauritius
11.21502972	1995	Mexico	Mexico	Mexico	Mexico
10.83263452	1995	Moldova (Republic of)	Moldova (Republic of)	Moldova (Republic of)	Moldova (Republic of)
7.490560055	1995	Mongolia	Mongolia	Mongolia	Mongolia
7.261839867	1995	Morocco	Morocco	Morocco	Morocco
4.153170109	1995	Mozambique	Mozambique	Mozambique	Mozambique
7.768799782	1995	Myanmar	Myanmar	Myanmar	Myanmar
13.08613968	1995	Namibia	Namibia	Namibia	Namibia
7.769179821	1995	Nepal	Nepal	Nepal	Nepal
8.529800415	1995	Nicaragua	Nicaragua	Nicaragua	Nicaragua
2.282449939	1995	Niger	Niger	Niger	Niger
11.13234997	1995	North Macedonia	North Macedonia	North Macedonia	North Macedonia
4.450285948	1995	Pakistan	Pakistan	Pakistan	Pakistan
11.18601036	1995	Panama	Panama	Panama	Panama
5.316289902	1995	Papua New Guinea	Papua New Guinea	Papua New Guinea	Papua New Guinea
10.40659046	1995	Paraguay	Paraguay	Paraguay	Paraguay
11.8151598	1995	Peru	Peru	Peru	Peru
10.89836025	1995	Philippines	Philippines	Philippines	Philippines
12.51344967	1995	Qatar	Qatar	Qatar	Qatar
5.693183263	1995	Rwanda	Rwanda	Rwanda	Rwanda
12.01363113	1995	Saint Lucia	Saint Lucia	Saint Lucia	Saint Lucia
11.6578	1995	Samoa	Samoa	Samoa	Samoa
8.575200936	1995	Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe
11.7220833	1995	Saudi Arabia	Saudi Arabia	Saudi Arabia	Saudi Arabia
4.783363914	1995	Senegal	Senegal	Senegal	Senegal
12.74917805	1995	Serbia	Serbia	Serbia	Serbia
5.085221958	1995	Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone
15.19957125	1995	Singapore	Singapore	Singapore	Singapore
13.17712731	1995	South Africa	South Africa	South Africa	South Africa
11.92872584	1995	Sri Lanka	Sri Lanka	Sri Lanka	Sri Lanka
4.339961577	1995	Sudan	Sudan	Sudan	Sudan
9.720040321	1995	Syrian Arab Republic	Syrian Arab Republic	Syrian Arab Republic	Syrian Arab Republic
10.06548023	1995	Tajikistan	Tajikistan	Tajikistan	Tajikistan
5.269070148	1995	Tanzania (United Republic of)	Tanzania (United Republic of)	Tanzania (United Republic of)	Tanzania (United Republic of)
