group	size	y	x
1	1.84908710110502	62.879	2022
2	1.22287521048984	76.833	2022
3	1.88720140337358	77.129	2022
4	1.78982275577905	61.929	2022
5	1.03850906619046	79.236	2022
6	1.89317998147998	76.064	2022
7	1.22042892187342	73.372	2022
8	1.4259658475551	73.488	2022
9	1.0838286616423	74.358	2022
10	1.16016127663162	79.246	2022
11	2.7324105101879	73.698	2022
12	1.06911515114208	77.706	2022
13	1.40867489022797	73.246	2022
14	1.08333449393545	70.962	2022
15	1.483688427794	59.954	2022
16	1.11643784156217	72.229	2022
17	1.46277864509475	64.928	2022
18	1.23776534123299	75.293	2022
19	1.21437334129203	65.913	2022
20	2.9429169220174	73.425	2022
21	1.08781422175974	74.551	2022
22	1.63037894113575	59.766	2022
23	1.47521751325833	61.977	2022
24	1.10118637004511	74.722	2022
25	1.54206018435971	69.896	2022
26	1.69947408936144	60.958	2022
27	1.31250281989309	54.477	2022
28	1.55729840707437	52.997	2022
29	1.58613211281993	79.519	2022
30	5.99998925577857	78.587	2022
31	1.95359593467553	73.659	2022
32	1.12045802629401	63.68	2022
33	1.32329294062096	63.053	2022
34	2.31749118707915	59.743	2022
35	1.30112185647773	77.32	2022
36	1.70255051054078	58.916	2022
37	1.44319535105658	78.155	2022
38	1.13960951712237	62.859	2022
39	1.03338125996465	72.981	2022
40	1.44352417369122	74.17	2022
41	1.56164950701228	77.894	2022
42	2.39492874808476	70.159	2022
43	1.33306881409717	71.475	2022
44	1.17089508818991	61.19	2022
45	1.25383272534218	66.604	2022
46	1.14459553155708	56.36	2022
47	2.47073338831981	65.645	2022
48	1.12704554971225	68.312	2022
49	1.20426737409598	65.694	2022
50	1.21744678861401	62.906	2022
51	1.255908651483	71.587	2022
52	1.76600963252061	63.945	2022
53	1.04514749760927	75.335	2022
54	1.55919216544932	68.674	2022
55	1.49278244419932	58.985	2022
56	1.19171812725546	59.861	2022
57	1.11839920222517	65.989	2022
58	1.45050914849953	63.728	2022
59	1.4275021823655	70.728	2022
60	5.98468728191493	67.744	2022
61	3.19777122392651	68.25	2022
62	2.2459511782143	74.556	2022
63	1.88316962855276	71.336	2022
64	1.22228663163613	70.629	2022
65	1.44465031800363	74.215	2022
66	1.58304691588765	69.489	2022
67	1.97319156871714	62.055	2022
68	1.04625886535607	67.661	2022
69	1.27328568665077	80.264	2022
70	1.34072508131504	70.484	2022
71	1.36311586965212	68.999	2022
72	1.30998466725839	74.416	2022
73	1.20066637687424	53.036	2022
74	1.30464865185267	61.1	2022
75	1.34536884488815	72.151	2022
76	1.72043082952426	65.23	2022
77	1.59800083679802	62.898	2022
78	1.7712827936324	76.26	2022
79	1.09498710537332	80.839	2022
80	1.62926303256708	59.417	2022
81	1.02382922245845	65.146	2022
82	1.28788475430599	64.691	2022
83	1.15040800128033	73.975	2022
84	2.49511411986205	74.832	2022
85	1.04290266303099	70.925	2022
86	1.2392161688284	68.621	2022
87	1.24376727647109	72.667	2022
88	1.10408471587506	76.845	2022
89	1.81030169386229	74.973	2022
90	1.76019267152551	59.625	2022
91	1.97455819161714	67.256	2022
92	1.21176964169549	58.059	2022
93	1.00781736530458	64.014	2022
94	1.73173020956569	70.484	2022
95	1.34880512958298	74.615	2022
96	1.6777484194494	62.08	2022
97	2.95742626955088	53.633	2022
98	1.19117014189401	73.888	2022
99	1.28297551620896	73.935	2022
100	3.03335965846564	66.431	2022
101	1.01247207259363	65.362	2022
102	1.30313100889424	73.444	2022
103	1.27773108445404	76.826	2022
104	1.42150839422569	65.958	2022
105	1.34456588551941	70.475	2022
106	1.77254756687832	73.385	2022
107	2.42335264351705	72.187	2022
108	1.21700811595554	81.559	2022
109	1.49131004394387	67.129	2022
110	1.02597270469379	72.027	2022
111	1.05470321095509	71.294	2022
112	1.04076165856945	68.972	2022
113	1.06113936930238	72.598	2022
114	1.06185178691125	68.794	2022
115	1.79887051565915	77.905	2022
116	1.55086109866895	67.913	2022
117	1.35559957427302	74.137	2022
118	1.04143802465806	71.738	2022
119	1.38823044874006	60.411	2022
120	1.32343566257652	84.133	2022
121	1.11197168554412	70.742	2022
122	1.55531595000666	56.107	2022
123	2.02467422847251	61.48	2022
124	1.43724052436684	55.567	2022
125	1.61856407969694	76.61	2022
126	1.90646757509349	65.578	2022
127	1.10332035074216	70.289	2022
128	1.62270421022814	72.3	2022
129	1.41754163216464	71.288	2022
130	2.0715454639183	66.782	2022
131	2.12111621037118	79.68	2022
132	1.15282643353094	69.056	2022
133	1.39367887100058	61.588	2022
134	1.0413827715347	71.27	2022
135	1.1633486313395	74.708	2022
136	1.46527255495071	74.263	2022
137	2.22316198383136	78.475	2022
138	1.33554369497403	69.41	2022
139	1.00610964102981	64.854	2022
140	1.91009066147355	63.638	2022
141	1.83422346068392	68.564	2022
142	1.40665724702916	79.196	2022
143	1.2446441741319	78	2022
144	1.77907953855438	71.674	2022
145	1.07461727633443	70.492	2022
146	1.70430962830769	71.105	2022
147	2.31200119820871	74.58	2022
148	1.76853174845999	63.72	2022
149	1.59229088318966	61.803	2022
150	1.53477719217748	59.391	2022
