yintercept	key	showSelected2
981.1335542	Afghanistan	Afghanistan
6645.338962	Albania	Albania
8724.944875	Algeria	Algeria
3950.498475	Angola	Angola
17058.178	Argentina	Argentina
4481.334166	Armenia	Armenia
4199.720351	Azerbaijan	Azerbaijan
36287.9169	Bahamas	Bahamas
44596.96124	Bahrain	Bahrain
2410.183801	Bangladesh	Bangladesh
14540.47	Barbados	Barbados
8451.600971	Belarus	Belarus
8324.982719	Belize	Belize
2475.681569	Benin	Benin
5167.767416	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)
7521.305885	Bosnia and Herzegovina	Bosnia and Herzegovina
11010.19943	Botswana	Botswana
11177.32528	Brazil	Brazil
69570.59079	Brunei Darussalam	Brunei Darussalam
1306.606484	Burkina Faso	Burkina Faso
822.6957005	Burundi	Burundi
4652.537405	Cabo Verde	Cabo Verde
1532.826941	Cambodia	Cambodia
2806.071824	Cameroon	Cameroon
1172.997596	Central African Republic	Central African Republic
963.1731045	Chad	Chad
15298.65217	Chile	Chile
3666.403293	China	China
8935.03927	Colombia	Colombia
2875.627979	Comoros	Comoros
3195.031651	Congo	Congo
662.0357196	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)
12190.95763	Costa Rica	Costa Rica
2721.813638	Côte d'Ivoire	Côte d'Ivoire
4504.573989	Cuba	Cuba
1741.210842	Djibouti	Djibouti
9769.144346	Dominica	Dominica
8922.636231	Dominican Republic	Dominican Republic
8009.910819	Ecuador	Ecuador
8071.54527	Egypt	Egypt
6376.278975	El Salvador	El Salvador
10712.97844	Equatorial Guinea	Equatorial Guinea
5845.046142	Eswatini (Kingdom of)	Eswatini (Kingdom of)
753.1816363	Ethiopia	Ethiopia
9299.200375	Fiji	Fiji
14215.05962	Gabon	Gabon
2016.996725	Gambia	Gambia
5200.732696	Georgia	Georgia
2761.404199	Ghana	Ghana
6466.892675	Guatemala	Guatemala
1692.285811	Guinea	Guinea
4476.458067	Guyana	Guyana
2922.572697	Haiti	Haiti
3911.380055	Honduras	Honduras
2625.90017	India	India
5534.488717	Indonesia	Indonesia
11125.95555	Iran (Islamic Republic of)	Iran (Islamic Republic of)
7531.255315	Iraq	Iraq
9147.500452	Jamaica	Jamaica
9217.719513	Jordan	Jordan
11521.95903	Kazakhstan	Kazakhstan
3292.064469	Kenya	Kenya
3195.447724	Kiribati	Kiribati
66464.81335	Kuwait	Kuwait
3086.618842	Kyrgyzstan	Kyrgyzstan
2774.992803	Lao People's Democratic Republic	Lao People's Democratic Republic
2694.181263	Lesotho	Lesotho
1570.050324	Liberia	Liberia
25051.8943	Libya	Libya
1586.596491	Madagascar	Madagascar
1011.785708	Malawi	Malawi
14692.03684	Malaysia	Malaysia
12280.06378	Maldives	Maldives
1694.504955	Mali	Mali
3975.02927	Mauritania	Mauritania
12582.88275	Mauritius	Mauritius
17273.12543	Mexico	Mexico
3823.74931	Micronesia (Federated States of)	Micronesia (Federated States of)
5695.230344	Moldova (Republic of)	Moldova (Republic of)
4518.701182	Mongolia	Mongolia
4978.098633	Morocco	Morocco
660.4795327	Mozambique	Mozambique
1093.333572	Myanmar	Myanmar
6643.826043	Namibia	Namibia
2091.739132	Nepal	Nepal
3815.24565	Nicaragua	Nicaragua
987.5496635	Niger	Niger
9823.249062	North Macedonia	North Macedonia
37401.32524	Oman	Oman
3284.97989	Pakistan	Pakistan
13731.0045	Palau	Palau
13803.85255	Panama	Panama
3077.381037	Papua New Guinea	Papua New Guinea
7678.403129	Paraguay	Paraguay
6242.799134	Peru	Peru
4942.16668	Philippines	Philippines
77504.0133	Qatar	Qatar
898.240539	Rwanda	Rwanda
11242.19582	Saint Lucia	Saint Lucia
8451.688899	Saint Vincent and the Grenadines	Saint Vincent and the Grenadines
4658.362201	Samoa	Samoa
2450.921644	Sao Tome and Principe	Sao Tome and Principe
39272.89931	Saudi Arabia	Saudi Arabia
2641.152684	Senegal	Senegal
9535.460643	Serbia	Serbia
19831.68429	Seychelles	Seychelles
914.093078	Sierra Leone	Sierra Leone
55496.7652	Singapore	Singapore
1911.12837	Solomon Islands	Solomon Islands
10512.77681	South Africa	South Africa
5912.322267	Sri Lanka	Sri Lanka
4009.306641	Sudan	Sudan
5840.716773	Syrian Arab Republic	Syrian Arab Republic
1456.764739	Tajikistan	Tajikistan
1381.583618	Tanzania (United Republic of)	Tanzania (United Republic of)
9755.657711	Thailand	Thailand
3396.622496	Timor-Leste	Timor-Leste
1615.615511	Togo	Togo
5351.403624	Tonga	Tonga
16592.8881	Trinidad and Tobago	Trinidad and Tobago
7627.760463	Tunisia	Tunisia
14227.8394	Türkiye	Türkiye
4637.536178	Tuvalu	Tuvalu
1228.919076	Uganda	Uganda
7902.808594	Ukraine	Ukraine
97738.30717	United Arab Emirates	United Arab Emirates
14115.35218	Uruguay	Uruguay
2702.103712	Uzbekistan	Uzbekistan
16344.033	Venezuela (Bolivarian Republic of)	Venezuela (Bolivarian Republic of)
3843.591239	Viet Nam	Viet Nam
3244.274524	Yemen	Yemen
2029.014079	Zambia	Zambia
1458.711321	Zimbabwe	Zimbabwe
