group	clickSelects	colour	fill	key	showSelected2	showSelected3	tooltip
1	Afghanistan	#619CFF	#619CFF	Afghanistan	Afghanistan	SA	Afghanistan
2	Albania	#00BA38	#00BA38	Albania	Albania	ECA	Albania
3	Algeria	#F8766D	#F8766D	Algeria	Algeria	AS	Algeria
4	Angola	#F564E3	#F564E3	Angola	Angola	SSA	Angola
5	Antigua and Barbuda	#00BFC4	#00BFC4	Antigua and Barbuda	Antigua and Barbuda	LAC	Antigua and Barbuda
6	Argentina	#00BFC4	#00BFC4	Argentina	Argentina	LAC	Argentina
7	Armenia	#00BA38	#00BA38	Armenia	Armenia	ECA	Armenia
8	Azerbaijan	#00BA38	#00BA38	Azerbaijan	Azerbaijan	ECA	Azerbaijan
9	Bahamas	#00BFC4	#00BFC4	Bahamas	Bahamas	LAC	Bahamas
10	Bahrain	#F8766D	#F8766D	Bahrain	Bahrain	AS	Bahrain
11	Bangladesh	#619CFF	#619CFF	Bangladesh	Bangladesh	SA	Bangladesh
12	Barbados	#00BFC4	#00BFC4	Barbados	Barbados	LAC	Barbados
13	Belarus	#00BA38	#00BA38	Belarus	Belarus	ECA	Belarus
14	Belize	#00BFC4	#00BFC4	Belize	Belize	LAC	Belize
15	Benin	#F564E3	#F564E3	Benin	Benin	SSA	Benin
16	Bhutan	#619CFF	#619CFF	Bhutan	Bhutan	SA	Bhutan
17	Bolivia (Plurinational State of)	#00BFC4	#00BFC4	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	LAC	Bolivia (Plurinational State of)
18	Bosnia and Herzegovina	#00BA38	#00BA38	Bosnia and Herzegovina	Bosnia and Herzegovina	ECA	Bosnia and Herzegovina
19	Botswana	#F564E3	#F564E3	Botswana	Botswana	SSA	Botswana
20	Brazil	#00BFC4	#00BFC4	Brazil	Brazil	LAC	Brazil
21	Brunei Darussalam	#B79F00	#B79F00	Brunei Darussalam	Brunei Darussalam	EAP	Brunei Darussalam
22	Burkina Faso	#F564E3	#F564E3	Burkina Faso	Burkina Faso	SSA	Burkina Faso
23	Burundi	#F564E3	#F564E3	Burundi	Burundi	SSA	Burundi
24	Cabo Verde	#F564E3	#F564E3	Cabo Verde	Cabo Verde	SSA	Cabo Verde
25	Cambodia	#B79F00	#B79F00	Cambodia	Cambodia	EAP	Cambodia
26	Cameroon	#F564E3	#F564E3	Cameroon	Cameroon	SSA	Cameroon
27	Central African Republic	#F564E3	#F564E3	Central African Republic	Central African Republic	SSA	Central African Republic
28	Chad	#F564E3	#F564E3	Chad	Chad	SSA	Chad
29	Chile	#00BFC4	#00BFC4	Chile	Chile	LAC	Chile
30	China	#B79F00	#B79F00	China	China	EAP	China
31	Colombia	#00BFC4	#00BFC4	Colombia	Colombia	LAC	Colombia
32	Comoros	#F564E3	#F564E3	Comoros	Comoros	SSA	Comoros
33	Congo	#F564E3	#F564E3	Congo	Congo	SSA	Congo
