colour	x	y	showSelected1	fill
#00C094	1975	66.1853902439024	Middle East & North Africa	#00C094
#A58AFF	1975	37.2571219512195	South Asia	#A58AFF
#C49A00	1975	68.3258292682927	Europe & Central Asia	#C49A00
#C49A00	1975	70.527512195122	Europe & Central Asia	#C49A00
#FB61D7	1975	38.979243902439	Sub-Saharan Africa	#FB61D7
#53B400	1975	68.0030731707317	Latin America & Caribbean	#53B400
#C49A00	1975	71.0841463414634	Europe & Central Asia	#C49A00
#F8766D	1975	72.6253658536586	East Asia & Pacific	#F8766D
#53B400	1975	70.7778048780488	Latin America & Caribbean	#53B400
#C49A00	1975	65.1874390243903	Europe & Central Asia	#C49A00
#C49A00	1975	68.6315853658537	Europe & Central Asia	#C49A00
#53B400	1975	70.3433170731707	Latin America & Caribbean	#53B400
#A58AFF	1975	43.3347804878049	South Asia	#A58AFF
#C49A00	1975	71.9712195121951	Europe & Central Asia	#C49A00
#FB61D7	1975	43.6348048780488	Sub-Saharan Africa	#FB61D7
#C49A00	1975	71.049756097561	Europe & Central Asia	#C49A00
#00C094	1975	67.4118780487805	Middle East & North Africa	#00C094
#FB61D7	1975	44.822	Sub-Saharan Africa	#FB61D7
#FB61D7	1975	43.0276097560976	Sub-Saharan Africa	#FB61D7
#F8766D	1975	69.0215853658537	East Asia & Pacific	#F8766D
#53B400	1975	48.2261707317073	Latin America & Caribbean	#53B400
#53B400	1975	60.488512195122	Latin America & Caribbean	#53B400
#53B400	1975	66.7560487804878	Latin America & Caribbean	#53B400
#A58AFF	1975	43.2459756097561	South Asia	#A58AFF
#FB61D7	1975	57.5469756097561	Sub-Saharan Africa	#FB61D7
#C49A00	1975	70.8328780487805	Europe & Central Asia	#C49A00
#53B400	1975	68.2665609756098	Latin America & Caribbean	#53B400
#00B6EB	1975	73.5217073170732	North America	#00B6EB
#FB61D7	1975	45.1399756097561	Sub-Saharan Africa	#FB61D7
#FB61D7	1975	45.832756097561	Sub-Saharan Africa	#FB61D7
#FB61D7	1975	54.9791707317073	Sub-Saharan Africa	#FB61D7
#C49A00	1975	74.6656097560976	Europe & Central Asia	#C49A00
#FB61D7	1975	47.9595609756098	Sub-Saharan Africa	#FB61D7
#53B400	1975	65.4621463414634	Latin America & Caribbean	#53B400
#FB61D7	1975	48.7498780487805	Sub-Saharan Africa	#FB61D7
#F8766D	1975	65.6915609756098	East Asia & Pacific	#F8766D
#53B400	1975	62.7040243902439	Latin America & Caribbean	#53B400
#53B400	1975	69.5594146341464	Latin America & Caribbean	#53B400
#53B400	1975	71.9519268292683	Latin America & Caribbean	#53B400
#FB61D7	1975	56.578243902439	Sub-Saharan Africa	#FB61D7
#C49A00	1975	73.7115365853659	Europe & Central Asia	#C49A00
#C49A00	1975	70.4146341463415	Europe & Central Asia	#C49A00
#C49A00	1975	71.3867804878049	Europe & Central Asia	#C49A00
#00C094	1975	45.4339268292683	Middle East & North Africa	#00C094
#C49A00	1975	74.0751219512195	Europe & Central Asia	#C49A00
#53B400	1975	61.0320975609756	Latin America & Caribbean	#53B400
#00C094	1975	56.1955609756098	Middle East & North Africa	#00C094
#53B400	1975	60.0643658536585	Latin America & Caribbean	#53B400
#C49A00	1975	69.7346341463415	Europe & Central Asia	#C49A00
#00C094	1975	53.1604634146342	Middle East & North Africa	#00C094
#FB61D7	1975	44.4299512195122	Sub-Saharan Africa	#FB61D7
#C49A00	1975	73.3187804878049	Europe & Central Asia	#C49A00
#FB61D7	1975	44.217	Sub-Saharan Africa	#FB61D7
#C49A00	1975	71.6736585365854	Europe & Central Asia	#C49A00
#F8766D	1975	61.5300975609756	East Asia & Pacific	#F8766D
#F8766D	1975	63.8545853658537	East Asia & Pacific	#F8766D
#C49A00	1975	72.8536585365854	Europe & Central Asia	#C49A00
