group	colour	x	y	tooltip	showSelected1
4	#00C094	1960	51.6086829268293	United Arab Emirates	Middle East & North Africa
4	#00C094	1961	52.6601463414634	United Arab Emirates	Middle East & North Africa
4	#00C094	1962	53.7608292682927	United Arab Emirates	Middle East & North Africa
4	#00C094	1963	54.9011951219512	United Arab Emirates	Middle East & North Africa
4	#00C094	1964	56.066243902439	United Arab Emirates	Middle East & North Africa
4	#00C094	1965	57.2364146341463	United Arab Emirates	Middle East & North Africa
4	#00C094	1966	58.3916585365854	United Arab Emirates	Middle East & North Africa
4	#00C094	1967	59.5129268292683	United Arab Emirates	Middle East & North Africa
4	#00C094	1968	60.5826829268293	United Arab Emirates	Middle East & North Africa
4	#00C094	1969	61.5878780487805	United Arab Emirates	Middle East & North Africa
4	#00C094	1970	62.5194878048781	United Arab Emirates	Middle East & North Africa
4	#00C094	1971	63.373	United Arab Emirates	Middle East & North Africa
4	#00C094	1972	64.1599512195122	United Arab Emirates	Middle East & North Africa
4	#00C094	1973	64.8883170731707	United Arab Emirates	Middle East & North Africa
4	#00C094	1974	65.5626341463415	United Arab Emirates	Middle East & North Africa
4	#00C094	1975	66.1853902439024	United Arab Emirates	Middle East & North Africa
4	#00C094	1960	51.7798048780488	Bahrain	Middle East & North Africa
4	#00C094	1961	53.2025853658537	Bahrain	Middle East & North Africa
4	#00C094	1962	54.6219756097561	Bahrain	Middle East & North Africa
4	#00C094	1963	56.0134390243903	Bahrain	Middle East & North Africa
4	#00C094	1964	57.3574146341464	Bahrain	Middle East & North Africa
4	#00C094	1965	58.6348048780488	Bahrain	Middle East & North Africa
4	#00C094	1966	59.833512195122	Bahrain	Middle East & North Africa
4	#00C094	1967	60.9560243902439	Bahrain	Middle East & North Africa
4	#00C094	1968	62.0038536585366	Bahrain	Middle East & North Africa
4	#00C094	1969	62.9744634146342	Bahrain	Middle East & North Africa
4	#00C094	1970	63.8683902439025	Bahrain	Middle East & North Africa
4	#00C094	1971	64.6892195121951	Bahrain	Middle East & North Africa
4	#00C094	1972	65.4454878048781	Bahrain	Middle East & North Africa
